epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,134.085,1.6128,1.53717,0.0208,0.55492,0.53548,0.52135,0.20219,2.20551,1.77115,0.05023,0.00129705,0.00129705,0.00129705
43,137.078,1.60734,1.59287,0.02128,0.54944,0.52194,0.52899,0.21815,2.29236,1.68866,0.05776,0.0012921,0.0012921,0.0012921
44,140.172,1.65337,1.69357,0.02259,0.53157,0.55182,0.54757,0.22767,2.2074,1.60797,0.05664,0.00128715,0.00128715,0.00128715
45,143.204,1.58374,1.66053,0.02039,0.62586,0.55617,0.5667,0.23407,2.0001,1.50288,0.04393,0.0012822,0.0012822,0.0012822
46,146.152,1.63942,1.63367,0.02163,0.61182,0.56641,0.56179,0.27017,1.79541,1.47829,0.03935,0.00127725,0.00127725,0.00127725
47,149.488,1.61776,1.55737,0.02179,0.5803,0.54576,0.55387,0.24386,2.0739,1.57353,0.04825,0.0012723,0.0012723,0.0012723
48,152.519,1.59741,1.59385,0.02209,0.57179,0.60565,0.53638,0.22449,2.12256,1.60777,0.04805,0.00126735,0.00126735,0.00126735
49,155.535,1.60272,1.49845,0.02112,0.59488,0.51587,0.53552,0.24258,1.94186,1.56869,0.04525,0.0012624,0.0012624,0.0012624
50,158.603,1.60289,1.64125,0.02192,0.4938,0.54949,0.48852,0.21476,2.0792,1.84787,0.04758,0.00125745,0.00125745,0.00125745
51,161.625,1.63093,1.53119,0.0206,0.5276,0.61127,0.54078,0.23042,2.08424,1.54068,0.04732,0.0012525,0.0012525,0.0012525
52,164.697,1.57834,1.49734,0.0212,0.65056,0.5915,0.57353,0.22741,2.17898,1.53761,0.05235,0.00124755,0.00124755,0.00124755
53,167.949,1.57818,1.45251,0.02039,0.53926,0.56863,0.54531,0.21573,2.18549,1.47866,0.05035,0.0012426,0.0012426,0.0012426
54,170.93,1.63661,1.54551,0.02203,0.58671,0.55976,0.5386,0.23219,2.12034,1.61626,0.04854,0.00123765,0.00123765,0.00123765
55,173.895,1.54434,1.5508,0.01962,0.5675,0.60296,0.559,0.24624,2.09945,1.55462,0.0503,0.0012327,0.0012327,0.0012327
56,176.964,1.51369,1.51752,0.02003,0.7252,0.51541,0.56044,0.24928,2.08341,1.59141,0.04778,0.00122775,0.00122775,0.00122775
57,180.439,1.55364,1.50319,0.02021,0.50788,0.56279,0.48645,0.20017,1.99223,1.79026,0.0435,0.0012228,0.0012228,0.0012228
58,183.561,1.62326,1.5152,0.02162,0.52466,0.55797,0.54091,0.23358,2.12495,1.68123,0.05343,0.00121785,0.00121785,0.00121785
59,186.609,1.51521,1.40645,0.01873,0.4227,0.47928,0.44324,0.18706,2.30469,2.41271,0.05672,0.0012129,0.0012129,0.0012129
60,189.682,1.52239,1.46798,0.02049,0.46306,0.5733,0.49675,0.23208,1.92891,1.71812,0.04308,0.00120795,0.00120795,0.00120795
61,192.674,1.47104,1.34955,0.01759,0.5654,0.5803,0.5591,0.2643,1.80899,1.68624,0.03768,0.001203,0.001203,0.001203
62,195.871,1.57764,1.43518,0.02163,0.64327,0.52101,0.53196,0.20742,2.03906,1.73143,0.04373,0.00119805,0.00119805,0.00119805
63,198.949,1.50495,1.392,0.01913,0.58045,0.59804,0.5835,0.26861,1.95095,1.45789,0.04481,0.0011931,0.0011931,0.0011931
64,201.986,1.54403,1.46751,0.02051,0.65436,0.58514,0.58491,0.2723,1.88545,1.33788,0.04133,0.00118815,0.00118815,0.00118815
65,205.127,1.60387,1.57004,0.0201,0.52145,0.53123,0.54787,0.24381,1.82966,1.48431,0.04156,0.0011832,0.0011832,0.0011832
66,208.145,1.59713,1.35324,0.02142,0.56075,0.59434,0.5729,0.24615,1.93382,1.40566,0.04358,0.00117825,0.00117825,0.00117825
67,211.406,1.57742,1.38,0.02051,0.57589,0.60822,0.56522,0.22571,1.89033,1.59789,0.04252,0.0011733,0.0011733,0.0011733
68,214.439,1.54685,1.40161,0.02102,0.55404,0.64426,0.57935,0.26709,1.83657,1.45565,0.04111,0.00116835,0.00116835,0.00116835
69,217.472,1.51043,1.38347,0.01912,0.6077,0.64192,0.61597,0.25606,1.98287,1.4005,0.04481,0.0011634,0.0011634,0.0011634
70,220.524,1.53817,1.42694,0.01933,0.58892,0.59711,0.59682,0.28313,1.86806,1.57154,0.04034,0.00115845,0.00115845,0.00115845
71,223.632,1.55557,1.50733,0.02054,0.57907,0.64472,0.56127,0.23384,1.95442,1.53557,0.0429,0.0011535,0.0011535,0.0011535
72,226.93,1.49836,1.32737,0.01959,0.68025,0.60504,0.63513,0.27263,1.83963,1.59843,0.03775,0.00114855,0.00114855,0.00114855
73,230.008,1.50662,1.36599,0.01946,0.65888,0.63977,0.62674,0.27781,1.83812,1.50634,0.03935,0.0011436,0.0011436,0.0011436
74,233.1,1.51661,1.27479,0.01971,0.63712,0.67291,0.68425,0.24925,2.09723,1.69759,0.04704,0.00113865,0.00113865,0.00113865
75,236.186,1.48805,1.3166,0.01873,0.62416,0.56346,0.5516,0.2159,2.01561,1.9566,0.04472,0.0011337,0.0011337,0.0011337
76,239.348,1.50421,1.40544,0.01806,0.54459,0.48786,0.47298,0.21515,1.93588,1.97177,0.04394,0.00112875,0.00112875,0.00112875
77,242.79,1.48238,1.32468,0.01935,0.57401,0.57527,0.54002,0.2486,1.97711,1.69971,0.04378,0.0011238,0.0011238,0.0011238
78,245.789,1.51586,1.37317,0.02072,0.65304,0.6855,0.65216,0.30727,1.82287,1.5063,0.04149,0.00111885,0.00111885,0.00111885
79,248.98,1.44297,1.265,0.01838,0.67128,0.62652,0.65748,0.32361,1.69223,1.44997,0.03821,0.0011139,0.0011139,0.0011139
80,252.173,1.51784,1.3991,0.01885,0.67182,0.5543,0.57406,0.25999,1.92543,1.49156,0.04702,0.00110895,0.00110895,0.00110895
81,255.18,1.407,1.27152,0.01713,0.52553,0.46481,0.45633,0.22218,1.87115,1.90684,0.0433,0.001104,0.001104,0.001104
82,258.46,1.45458,1.23433,0.01916,0.56861,0.62957,0.60327,0.27174,1.86288,1.49072,0.04337,0.00109905,0.00109905,0.00109905
83,261.592,1.49321,1.31914,0.01778,0.72047,0.64553,0.67595,0.32371,1.74115,1.21818,0.03857,0.0010941,0.0010941,0.0010941
84,264.761,1.51289,1.28815,0.01833,0.56589,0.681,0.5894,0.24966,1.93118,1.56654,0.04173,0.00108915,0.00108915,0.00108915
85,267.946,1.55382,1.33256,0.01942,0.51709,0.62458,0.61884,0.28707,1.96869,1.41624,0.04541,0.0010842,0.0010842,0.0010842
86,271.097,1.45622,1.38681,0.01934,0.6448,0.54727,0.55706,0.24929,2.09087,1.72444,0.04902,0.00107925,0.00107925,0.00107925
87,274.356,1.50903,1.28871,0.01819,0.6399,0.52101,0.55418,0.2654,2.00239,1.94639,0.04758,0.0010743,0.0010743,0.0010743
88,277.447,1.48652,1.3004,0.02022,0.70314,0.61204,0.63108,0.28125,1.89082,1.43524,0.04028,0.00106935,0.00106935,0.00106935
89,280.57,1.42702,1.26964,0.0175,0.78409,0.58777,0.66212,0.33627,1.6487,1.37685,0.03566,0.0010644,0.0010644,0.0010644
90,283.819,1.49037,1.28766,0.0192,0.61609,0.63259,0.62666,0.30064,1.77439,1.55157,0.0389,0.00105945,0.00105945,0.00105945
91,286.928,1.41653,1.19804,0.0169,0.51212,0.53242,0.51232,0.24374,1.83415,1.56158,0.04528,0.0010545,0.0010545,0.0010545
92,290.009,1.45711,1.28392,0.01912,0.57452,0.57472,0.58106,0.24842,1.93187,1.57137,0.0444,0.00104955,0.00104955,0.00104955
93,293.347,1.43348,1.22634,0.01834,0.60958,0.6674,0.62064,0.26248,1.92058,1.7037,0.04218,0.0010446,0.0010446,0.0010446
94,296.396,1.44842,1.2237,0.01893,0.71524,0.67637,0.6877,0.29233,2.05799,1.25747,0.04585,0.00103965,0.00103965,0.00103965
95,299.455,1.4657,1.27565,0.01867,0.65982,0.61111,0.60469,0.27784,1.95022,1.30017,0.04276,0.0010347,0.0010347,0.0010347
96,302.517,1.46065,1.18411,0.01745,0.69796,0.64893,0.69474,0.31658,1.90094,1.48047,0.04062,0.00102975,0.00102975,0.00102975
97,305.786,1.39892,1.18846,0.01743,0.67342,0.6561,0.6573,0.30946,2.02758,1.29606,0.04737,0.0010248,0.0010248,0.0010248
98,308.785,1.39728,1.21197,0.01705,0.68442,0.55797,0.57564,0.28416,1.95634,1.44966,0.04497,0.00101985,0.00101985,0.00101985
99,311.848,1.37846,1.25559,0.01718,0.68748,0.63492,0.61661,0.29795,1.94139,1.38346,0.04531,0.0010149,0.0010149,0.0010149
100,314.891,1.40178,1.19944,0.0175,0.66199,0.64493,0.65152,0.32915,1.81163,1.26403,0.04101,0.00100995,0.00100995,0.00100995
101,317.979,1.35866,1.24498,0.01688,0.6118,0.69755,0.66225,0.30788,1.95688,1.27949,0.04596,0.001005,0.001005,0.001005
102,321.371,1.33334,1.27173,0.01653,0.76024,0.69828,0.69971,0.31058,1.90921,1.28425,0.04473,0.00100005,0.00100005,0.00100005
103,324.441,1.32303,1.20609,0.0159,0.70874,0.70075,0.69935,0.30774,1.77085,1.31847,0.03928,0.0009951,0.0009951,0.0009951
104,327.447,1.44,1.29668,0.01843,0.64654,0.68947,0.66297,0.30075,1.83149,1.31158,0.04142,0.00099015,0.00099015,0.00099015
105,330.505,1.39376,1.18045,0.0174,0.64194,0.67848,0.66514,0.33036,1.67742,1.19053,0.03687,0.0009852,0.0009852,0.0009852
106,333.566,1.38878,1.23888,0.01671,0.65495,0.62979,0.67471,0.33646,1.64568,1.21995,0.03681,0.00098025,0.00098025,0.00098025
107,337.094,1.43196,1.29983,0.0177,0.54383,0.67572,0.58675,0.28013,1.92139,1.39378,0.04369,0.0009753,0.0009753,0.0009753
108,340.146,1.39334,1.18272,0.01738,0.61686,0.51867,0.55619,0.2555,2.02783,1.68547,0.0488,0.00097035,0.00097035,0.00097035
109,343.216,1.341,1.22703,0.01747,0.78721,0.56863,0.65807,0.30751,1.97017,1.40147,0.04676,0.0009654,0.0009654,0.0009654
110,346.275,1.40378,1.23384,0.01701,0.64994,0.56904,0.59078,0.29836,1.8775,1.36223,0.04641,0.00096045,0.00096045,0.00096045
111,349.182,1.33814,1.0751,0.01687,0.61848,0.56996,0.57284,0.27956,1.74322,1.48603,0.04225,0.0009555,0.0009555,0.0009555
112,352.486,1.43287,1.21716,0.018,0.63175,0.59569,0.59447,0.30029,1.66912,1.43382,0.0389,0.00095055,0.00095055,0.00095055
113,355.502,1.37256,1.07418,0.0169,0.59996,0.64239,0.61427,0.31915,1.62055,1.47921,0.03568,0.0009456,0.0009456,0.0009456
114,358.471,1.38494,1.19472,0.01681,0.65793,0.63991,0.64328,0.31567,1.87899,1.47043,0.04416,0.00094065,0.00094065,0.00094065
115,361.598,1.39129,1.18375,0.01822,0.71041,0.59257,0.65157,0.31515,1.93161,1.62896,0.0454,0.0009357,0.0009357,0.0009357
116,364.643,1.30926,1.14061,0.01641,0.62482,0.63526,0.66584,0.36078,1.87268,1.27633,0.04478,0.00093075,0.00093075,0.00093075
117,368.257,1.2927,1.09415,0.01624,0.64094,0.62885,0.62141,0.32544,1.92571,1.39548,0.04582,0.0009258,0.0009258,0.0009258
118,371.317,1.32079,1.15715,0.01622,0.71341,0.59692,0.6609,0.34699,1.81863,1.34161,0.04169,0.00092085,0.00092085,0.00092085
119,374.533,1.35209,1.1969,0.017,0.71587,0.66424,0.70689,0.34725,1.63037,1.27807,0.03399,0.0009159,0.0009159,0.0009159
120,377.662,1.38568,1.11881,0.01763,0.67262,0.63212,0.68231,0.36046,1.76023,1.35283,0.03955,0.00091095,0.00091095,0.00091095
121,380.796,1.33114,1.07512,0.01671,0.73858,0.55789,0.64132,0.32019,1.74075,1.47567,0.03884,0.000906,0.000906,0.000906
122,384.049,1.35619,1.11379,0.01813,0.77976,0.61531,0.69402,0.36292,1.52763,1.30346,0.03153,0.00090105,0.00090105,0.00090105
123,387.242,1.3161,1.11662,0.01612,0.76913,0.62156,0.6679,0.3261,1.59204,1.29308,0.0322,0.0008961,0.0008961,0.0008961
124,390.229,1.30698,1.08483,0.01611,0.83568,0.59471,0.68646,0.32583,1.69912,1.25039,0.03526,0.00089115,0.00089115,0.00089115
125,393.401,1.34246,1.10024,0.01636,0.73212,0.62838,0.63831,0.32325,1.68972,1.19757,0.0358,0.0008862,0.0008862,0.0008862
126,396.511,1.27935,1.09516,0.01582,0.59073,0.5761,0.6165,0.3274,1.57184,1.4551,0.03366,0.00088125,0.00088125,0.00088125
127,399.762,1.29098,1.05934,0.01605,0.62411,0.60084,0.61687,0.31819,1.73492,1.28896,0.03848,0.0008763,0.0008763,0.0008763
128,402.834,1.32362,1.08614,0.01643,0.67131,0.61625,0.62412,0.33385,1.80964,1.25616,0.04163,0.00087135,0.00087135,0.00087135
129,405.802,1.31965,1.08724,0.01558,0.70604,0.60971,0.60361,0.30275,1.87216,1.44613,0.04417,0.0008664,0.0008664,0.0008664
130,408.888,1.33249,1.1528,0.01677,0.67241,0.6267,0.67148,0.3082,1.90761,1.3352,0.04449,0.00086145,0.00086145,0.00086145
131,411.913,1.31718,1.1023,0.01643,0.76655,0.53044,0.64107,0.33343,1.78823,1.45404,0.04063,0.0008565,0.0008565,0.0008565
132,415.115,1.28771,1.06006,0.01576,0.6892,0.62979,0.60661,0.28943,1.79273,1.5802,0.03976,0.00085155,0.00085155,0.00085155
133,418.203,1.31375,1.01358,0.01566,0.67402,0.5942,0.59762,0.31838,1.67813,1.49218,0.03817,0.0008466,0.0008466,0.0008466
134,421.289,1.29877,1.08728,0.0159,0.64745,0.69981,0.68798,0.36146,1.67252,1.2865,0.0373,0.00084165,0.00084165,0.00084165
135,424.369,1.33919,1.0596,0.01841,0.83648,0.6368,0.7511,0.37439,1.73592,1.12429,0.03781,0.0008367,0.0008367,0.0008367
136,427.804,1.27086,1.03131,0.01721,0.79895,0.62092,0.69813,0.34463,1.87164,1.2681,0.04401,0.00083175,0.00083175,0.00083175
137,430.82,1.32253,1.04739,0.0155,0.74302,0.61446,0.67127,0.34571,1.83916,1.41486,0.0422,0.0008268,0.0008268,0.0008268
138,433.815,1.28542,1.0204,0.01579,0.68579,0.56285,0.65824,0.34503,1.73806,1.43126,0.03937,0.00082185,0.00082185,0.00082185
139,436.82,1.27369,1.01262,0.01615,0.69451,0.61628,0.64971,0.3243,1.72383,1.48569,0.03966,0.0008169,0.0008169,0.0008169
140,439.862,1.26953,1.00193,0.01553,0.67198,0.69587,0.71929,0.38185,1.69429,1.28972,0.03799,0.00081195,0.00081195,0.00081195
141,443.11,1.27784,1.06778,0.01611,0.74756,0.67554,0.72667,0.373,1.79076,1.34789,0.04029,0.000807,0.000807,0.000807
142,446.211,1.27504,0.99167,0.01633,0.71203,0.6974,0.71304,0.36808,1.75777,1.28311,0.04037,0.00080205,0.00080205,0.00080205
143,449.31,1.25607,0.98059,0.01533,0.71126,0.62465,0.69112,0.34265,1.75677,1.35233,0.04016,0.0007971,0.0007971,0.0007971
144,452.334,1.32919,1.08115,0.01762,0.66555,0.61896,0.64417,0.32698,1.79773,1.41959,0.04297,0.00079215,0.00079215,0.00079215
145,455.5,1.32478,1.11905,0.01655,0.77871,0.60826,0.66244,0.34588,1.73025,1.37338,0.03888,0.0007872,0.0007872,0.0007872
146,458.62,1.24478,1.01346,0.01513,0.70833,0.66884,0.66589,0.3531,1.75264,1.32079,0.04024,0.00078225,0.00078225,0.00078225
147,461.72,1.24151,0.99258,0.01568,0.68165,0.66081,0.67711,0.37933,1.7025,1.51913,0.03947,0.0007773,0.0007773,0.0007773
148,464.787,1.26703,1.0569,0.01566,0.75914,0.63819,0.69872,0.37446,1.89097,1.24629,0.04458,0.00077235,0.00077235,0.00077235
149,467.806,1.29094,1.0415,0.01541,0.69088,0.65173,0.71101,0.36863,1.8942,1.40014,0.04432,0.0007674,0.0007674,0.0007674
150,471.021,1.28386,1.00188,0.01552,0.71853,0.65079,0.66935,0.33064,1.83579,1.3985,0.04146,0.00076245,0.00076245,0.00076245
151,474.124,1.25931,1.03676,0.01509,0.81912,0.6459,0.72086,0.37335,1.78148,1.33656,0.04091,0.0007575,0.0007575,0.0007575
152,477.248,1.23863,1.04115,0.01488,0.81111,0.72825,0.76044,0.39622,1.61626,1.1333,0.03478,0.00075255,0.00075255,0.00075255
153,480.368,1.28333,0.97567,0.01496,0.83462,0.69227,0.73253,0.39172,1.55148,1.18847,0.03286,0.0007476,0.0007476,0.0007476
154,483.425,1.21648,0.93063,0.01399,0.75529,0.69571,0.74385,0.40954,1.55622,1.10818,0.03338,0.00074265,0.00074265,0.00074265
155,486.892,1.24503,0.96512,0.01527,0.76804,0.63679,0.69298,0.38108,1.58843,1.26344,0.03515,0.0007377,0.0007377,0.0007377
156,489.931,1.23431,0.98023,0.01484,0.64116,0.62637,0.63988,0.34253,1.71351,1.31703,0.03871,0.00073275,0.00073275,0.00073275
157,492.966,1.26774,0.9242,0.01594,0.65932,0.61765,0.61459,0.31558,1.76716,1.39948,0.04084,0.0007278,0.0007278,0.0007278
158,495.993,1.25553,0.96665,0.01644,0.72401,0.55789,0.64075,0.31823,1.85027,1.45873,0.0441,0.00072285,0.00072285,0.00072285
159,499.109,1.26051,1.00779,0.01455,0.80025,0.63608,0.71421,0.36216,1.72954,1.31563,0.03918,0.0007179,0.0007179,0.0007179
160,502.491,1.23905,0.98399,0.01461,0.67987,0.63119,0.62209,0.31555,1.75968,1.35988,0.04019,0.00071295,0.00071295,0.00071295
161,505.605,1.23925,0.93291,0.0152,0.74233,0.66471,0.66401,0.32703,1.74396,1.38733,0.04021,0.000708,0.000708,0.000708
162,508.764,1.25839,0.95932,0.01454,0.72362,0.65604,0.67326,0.34399,1.56253,1.57225,0.03519,0.00070305,0.00070305,0.00070305
163,511.78,1.23563,0.98659,0.01516,0.74012,0.62994,0.68084,0.34818,1.67253,1.48181,0.03892,0.0006981,0.0006981,0.0006981
164,514.901,1.26602,1.00734,0.01553,0.75225,0.62331,0.67198,0.37223,1.62547,1.30584,0.03702,0.00069315,0.00069315,0.00069315
165,517.987,1.19456,0.95646,0.01489,0.69445,0.67521,0.65359,0.34892,1.62425,1.31414,0.03491,0.0006882,0.0006882,0.0006882
166,521.376,1.22503,0.94849,0.01451,0.69306,0.67084,0.66223,0.35234,1.65037,1.35649,0.03543,0.00068325,0.00068325,0.00068325
167,524.427,1.24312,1.01535,0.01575,0.80759,0.6579,0.69987,0.37222,1.55508,1.31596,0.03318,0.0006783,0.0006783,0.0006783
168,527.521,1.19028,0.90092,0.01396,0.65709,0.6232,0.64405,0.35521,1.63024,1.41253,0.03578,0.00067335,0.00067335,0.00067335
169,530.609,1.23871,0.96445,0.01462,0.65031,0.68842,0.643,0.34869,1.67599,1.45208,0.03707,0.0006684,0.0006684,0.0006684
170,534.014,1.24425,0.93996,0.01505,0.77389,0.62853,0.68496,0.37909,1.65926,1.35988,0.03637,0.00066345,0.00066345,0.00066345
171,537.134,1.19105,0.92071,0.01412,0.77216,0.61468,0.6435,0.33798,1.71502,1.38766,0.03771,0.0006585,0.0006585,0.0006585
172,540.199,1.22837,1.00449,0.0159,0.8053,0.6571,0.72978,0.38374,1.62141,1.26332,0.03542,0.00065355,0.00065355,0.00065355
173,543.321,1.23001,0.99157,0.01551,0.78897,0.70587,0.73474,0.38961,1.56014,1.30529,0.0332,0.0006486,0.0006486,0.0006486
174,546.445,1.19974,0.93202,0.01428,0.7243,0.67274,0.71256,0.4104,1.40591,1.40517,0.02891,0.00064365,0.00064365,0.00064365
175,549.874,1.22342,0.92487,0.01447,0.71643,0.67927,0.70208,0.40297,1.53314,1.26813,0.0323,0.0006387,0.0006387,0.0006387
176,552.807,1.15726,0.92816,0.01371,0.74345,0.63168,0.67827,0.39469,1.50764,1.28833,0.03295,0.00063375,0.00063375,0.00063375
177,555.863,1.16718,0.89525,0.01469,0.76486,0.66753,0.69585,0.39348,1.53292,1.26778,0.03277,0.0006288,0.0006288,0.0006288
178,558.842,1.20889,0.85534,0.01489,0.79076,0.68185,0.71075,0.38967,1.60638,1.18678,0.03418,0.00062385,0.00062385,0.00062385
179,561.965,1.22016,0.95426,0.01427,0.84758,0.63014,0.72835,0.40854,1.4844,1.28027,0.02938,0.0006189,0.0006189,0.0006189
180,565.3,1.18773,0.87221,0.01335,0.79282,0.6592,0.68895,0.39968,1.66974,1.23869,0.03598,0.00061395,0.00061395,0.00061395
181,568.512,1.20929,0.90466,0.01471,0.70857,0.62195,0.63135,0.36105,1.65729,1.37996,0.03573,0.000609,0.000609,0.000609
182,571.624,1.1765,0.9102,0.01391,0.67647,0.66846,0.65879,0.36273,1.65331,1.27643,0.03516,0.00060405,0.00060405,0.00060405
183,574.703,1.2017,0.95594,0.01421,0.63493,0.66809,0.63544,0.3626,1.67231,1.3991,0.03662,0.0005991,0.0005991,0.0005991
184,577.772,1.17681,0.86708,0.01378,0.65924,0.6527,0.63986,0.37945,1.62642,1.36485,0.03524,0.00059415,0.00059415,0.00059415
185,580.849,1.12166,0.84532,0.01352,0.7618,0.65546,0.7132,0.40594,1.57358,1.16966,0.03273,0.0005892,0.0005892,0.0005892
186,584.176,1.10101,0.8691,0.01292,0.70085,0.79505,0.73994,0.42307,1.55643,1.15863,0.03296,0.00058425,0.00058425,0.00058425
