epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1655,1.72896,0.89435,1.32142,4e-05,0.01626,1e-05,0,1.87505,0.58476,3.14924,1.94286e-05,1.94286e-05,0.0805909
2,83.7531,1.41351,0.56066,0.95467,6e-05,0.01087,0,0,1.6427,0.76041,2.4981,3.92973e-05,3.92973e-05,0.0606107
3,121.092,1.39014,0.58169,0.90267,0.00219,0.30181,0.0012,0.00023,0.99426,1.11366,1.50708,5.90328e-05,5.90328e-05,0.0406305
4,158.57,1.17093,0.82771,0.71089,0.00232,0.38137,0.00476,0.00089,1.02806,1.61081,1.49767,7.86351e-05,7.86351e-05,0.0206501
5,196.574,0.98681,0.97589,0.57388,0.00217,0.49129,0.024,0.01058,0.79916,1.63369,1.32756,9.81042e-05,9.81042e-05,0.000669533
6,235.098,0.90703,1.09044,0.53785,0.00194,0.49129,0.02545,0.00855,0.80081,1.7709,1.29449,9.8335e-05,9.8335e-05,9.8335e-05
7,274.2,0.85101,1.15792,0.51494,0.01295,0.33658,0.02228,0.00707,0.84556,1.89076,1.31135,9.8002e-05,9.8002e-05,9.8002e-05
8,311.898,0.77936,1.24234,0.45491,0.34501,0.2781,0.03423,0.01092,0.70306,2.07666,1.07815,9.7669e-05,9.7669e-05,9.7669e-05
9,349.91,0.72065,1.29717,0.42212,0.67118,0.23171,0.02434,0.00896,0.69451,2.0812,1.04549,9.7336e-05,9.7336e-05,9.7336e-05
10,386.793,0.68225,1.31016,0.38032,0.67166,0.17073,0.02532,0.01179,0.60219,2.14018,0.9221,9.7003e-05,9.7003e-05,9.7003e-05
11,423.947,0.71534,1.26754,0.43678,0.67213,0.14634,0.02895,0.01293,0.62717,2.13052,0.97096,9.667e-05,9.667e-05,9.667e-05
12,461.482,0.68454,1.31162,0.42312,0.38864,0.14258,0.0234,0.01298,0.59246,2.12267,0.88776,9.6337e-05,9.6337e-05,9.6337e-05
13,500.733,0.70213,1.29281,0.43744,0.57727,0.17753,0.02392,0.01253,0.54344,2.21444,0.84171,9.6004e-05,9.6004e-05,9.6004e-05
14,539.244,0.62702,1.33066,0.36733,0.34456,0.16675,0.01609,0.0076,0.5675,2.07895,0.86496,9.5671e-05,9.5671e-05,9.5671e-05
15,576.872,0.63201,1.3307,0.40069,0.01948,0.20921,0.02191,0.01014,0.54958,2.29277,0.74962,9.5338e-05,9.5338e-05,9.5338e-05
16,614.089,0.59879,1.36418,0.35932,0.34781,0.17496,0.03372,0.01689,0.48683,2.30726,0.7453,9.5005e-05,9.5005e-05,9.5005e-05
17,651.87,0.58749,1.34757,0.33481,0.34993,0.1519,0.0353,0.0161,0.51676,2.13727,0.70867,9.4672e-05,9.4672e-05,9.4672e-05
18,689.133,0.54211,1.41478,0.3145,0.34974,0.12743,0.03478,0.01663,0.51042,2.09581,0.73761,9.4339e-05,9.4339e-05,9.4339e-05
19,727.037,0.51332,1.38336,0.29788,0.01678,0.1261,0.02702,0.01293,0.48895,2.36671,0.72673,9.4006e-05,9.4006e-05,9.4006e-05
20,765.418,0.50431,1.45304,0.28755,0.35938,0.15398,0.03558,0.01732,0.47633,2.19065,0.64198,9.3673e-05,9.3673e-05,9.3673e-05
21,803.73,0.469,1.42972,0.2498,0.35717,0.09623,0.02723,0.01384,0.50626,2.31914,0.76004,9.334e-05,9.334e-05,9.334e-05
22,840.494,0.46645,1.43904,0.26757,0.02288,0.12426,0.02507,0.01171,0.49619,2.43465,0.73428,9.3007e-05,9.3007e-05,9.3007e-05
23,877.588,0.46855,1.45338,0.26757,0.35944,0.1261,0.04168,0.01631,0.49488,2.37681,0.7135,9.2674e-05,9.2674e-05,9.2674e-05
24,914.28,0.47827,1.40322,0.26405,0.67829,0.12195,0.03743,0.01638,0.45882,2.24499,0.70242,9.2341e-05,9.2341e-05,9.2341e-05
