epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,1206.87,0.26728,0.3926,0.11729,0.79581,0.70796,0.75821,0.51667,0.41358,0.79329,0.43992,2.4076e-05,2.4076e-05,2.4076e-05
40,1237.95,0.26662,0.38481,0.10986,0.7688,0.69464,0.73487,0.49857,0.41756,0.70685,0.45529,2.2078e-05,2.2078e-05,2.2078e-05
41,1261.44,0.32037,0.51724,0.34966,0.86658,0.78082,0.81064,0.47412,0.48831,0.62477,0.49173,2.008e-05,2.008e-05,2.008e-05
42,1280.33,0.30018,0.47994,0.29494,0.81239,0.85018,0.85406,0.50714,0.45193,0.61305,0.45647,1.8082e-05,1.8082e-05,1.8082e-05
43,1300.17,0.28393,0.463,0.26236,0.84089,0.85586,0.85893,0.52354,0.42973,0.53458,0.42234,1.6084e-05,1.6084e-05,1.6084e-05
44,1318.28,0.26879,0.45055,0.24181,0.85052,0.84599,0.82695,0.48074,0.4624,0.5373,0.41982,1.4086e-05,1.4086e-05,1.4086e-05
45,1337.73,0.27513,0.45566,0.24858,0.8225,0.85986,0.82245,0.51279,0.43135,0.50095,0.39711,1.2088e-05,1.2088e-05,1.2088e-05
46,1356.85,0.271,0.43378,0.24277,0.81455,0.86912,0.83608,0.52393,0.42589,0.52931,0.40192,1.009e-05,1.009e-05,1.009e-05
47,1375.98,0.25163,0.44207,0.22008,0.81106,0.8716,0.8466,0.5113,0.44508,0.55501,0.41742,8.092e-06,8.092e-06,8.092e-06
48,1394.19,0.25522,0.44615,0.21863,0.82062,0.88325,0.85531,0.50672,0.44171,0.5456,0.4127,6.094e-06,6.094e-06,6.094e-06
49,1413.74,0.26094,0.4388,0.23256,0.82311,0.87905,0.85693,0.52121,0.42616,0.53383,0.39413,4.096e-06,4.096e-06,4.096e-06
50,1432.45,0.23923,0.4245,0.21243,0.80072,0.88901,0.83336,0.51397,0.43156,0.53279,0.40296,2.098e-06,2.098e-06,2.098e-06
