epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.5552,1.44423,1.26247,0.02016,0.49947,0.33774,0.34051,0.16457,1.8488,2.71703,0.04062,0.00062,0.00062,0.06962
2,11.3934,1.41455,1.18489,0.01947,0.69225,0.50991,0.51561,0.30206,1.63209,1.90004,0.03754,0.00125584,0.00125584,0.0382558
3,15.9912,1.36161,1.21083,0.01893,0.68183,0.51146,0.61273,0.34833,1.45803,1.51468,0.03155,0.00188746,0.00188746,0.00688746
4,20.4641,1.37129,1.24331,0.01796,0.61368,0.56164,0.62817,0.35796,1.39469,1.76583,0.03017,0.0019802,0.0019802,0.0019802
5,25.1484,1.32129,1.18877,0.01855,0.68408,0.49039,0.58123,0.30626,1.58394,1.4876,0.03739,0.0019736,0.0019736,0.0019736
6,29.9566,1.34108,1.14403,0.01922,0.59642,0.59846,0.59583,0.34921,1.48118,1.42115,0.03253,0.001967,0.001967,0.001967
7,34.4655,1.34959,1.14408,0.0192,0.74088,0.4777,0.60452,0.35201,1.46351,1.43553,0.03214,0.0019604,0.0019604,0.0019604
8,38.9085,1.36458,1.2089,0.02034,0.65825,0.62708,0.64295,0.35066,1.52658,1.24151,0.03313,0.0019538,0.0019538,0.0019538
9,43.4025,1.35527,1.15382,0.01842,0.66477,0.50157,0.5865,0.30494,1.61407,1.54537,0.03597,0.0019472,0.0019472,0.0019472
10,48.1671,1.38011,1.13613,0.01967,0.59002,0.59958,0.58759,0.32138,1.5704,1.45272,0.0353,0.0019406,0.0019406,0.0019406
11,52.7108,1.34214,1.25132,0.01955,0.68765,0.54926,0.62614,0.35399,1.45867,1.41178,0.03186,0.001934,0.001934,0.001934
12,57.0439,1.3944,1.22369,0.01966,0.69151,0.52551,0.6179,0.34558,1.53628,1.43683,0.03428,0.0019274,0.0019274,0.0019274
13,61.3983,1.34843,1.16733,0.01844,0.62103,0.605,0.60453,0.33128,1.60177,1.52752,0.03597,0.0019208,0.0019208,0.0019208
14,65.8447,1.28012,1.12616,0.01823,0.52869,0.50731,0.51887,0.29102,1.60403,1.83044,0.0356,0.0019142,0.0019142,0.0019142
15,70.6643,1.34303,1.15869,0.01916,0.64454,0.54687,0.59795,0.34567,1.52125,1.41223,0.03381,0.0019076,0.0019076,0.0019076
16,75.1473,1.31769,1.10802,0.01864,0.62977,0.63282,0.64676,0.36263,1.53007,1.30088,0.03445,0.001901,0.001901,0.001901
17,79.81,1.31549,1.15878,0.01781,0.5763,0.5711,0.57642,0.3554,1.4835,1.42761,0.03165,0.0018944,0.0018944,0.0018944
18,84.1943,1.31427,1.12754,0.01875,0.67722,0.50659,0.58912,0.3375,1.59532,1.45235,0.03659,0.0018878,0.0018878,0.0018878
19,88.9617,1.32563,1.14329,0.01876,0.62564,0.57689,0.5827,0.34541,1.4909,1.46419,0.03212,0.0018812,0.0018812,0.0018812
20,93.307,1.32897,1.07368,0.01868,0.6343,0.62363,0.62567,0.3481,1.51096,1.40726,0.03221,0.0018746,0.0018746,0.0018746
21,97.8213,1.32886,1.11363,0.01885,0.70978,0.61735,0.68624,0.3869,1.54248,1.27824,0.03503,0.001868,0.001868,0.001868
22,102.584,1.36889,1.14461,0.02004,0.65004,0.573,0.63423,0.38137,1.37474,1.39047,0.02865,0.0018614,0.0018614,0.0018614
23,106.786,1.35052,1.0815,0.01768,0.65697,0.61688,0.68034,0.40405,1.4063,1.19651,0.02964,0.0018548,0.0018548,0.0018548
24,111.69,1.28504,1.12164,0.01742,0.64808,0.6141,0.63605,0.34376,1.55038,1.2955,0.0338,0.0018482,0.0018482,0.0018482
25,115.99,1.33241,1.06857,0.01845,0.80223,0.53886,0.67361,0.36663,1.46696,1.20011,0.03159,0.0018416,0.0018416,0.0018416
26,120.514,1.30321,1.02358,0.01791,0.59208,0.60195,0.62373,0.31313,1.55436,1.53436,0.03393,0.001835,0.001835,0.001835
27,124.98,1.32725,1.12681,0.01859,0.60523,0.62927,0.66096,0.34754,1.52995,1.40673,0.03291,0.0018284,0.0018284,0.0018284
28,129.211,1.28256,1.08081,0.01758,0.68401,0.56333,0.6077,0.33517,1.53683,1.5718,0.03302,0.0018218,0.0018218,0.0018218
29,133.958,1.31943,1.1093,0.01871,0.64886,0.55155,0.6353,0.34649,1.64333,1.71942,0.03679,0.0018152,0.0018152,0.0018152
30,138.273,1.30205,1.11754,0.01804,0.679,0.62167,0.6577,0.35808,1.58911,1.30136,0.03494,0.0018086,0.0018086,0.0018086
31,142.763,1.29004,1.14652,0.01792,0.58131,0.62417,0.6418,0.33753,1.59242,1.56518,0.03493,0.001802,0.001802,0.001802
32,147.109,1.30345,1.10341,0.01832,0.6402,0.56041,0.59573,0.31724,1.57356,1.5762,0.03364,0.0017954,0.0017954,0.0017954
33,151.689,1.25853,1.05677,0.01663,0.67797,0.57974,0.62547,0.33995,1.50598,1.48602,0.03159,0.0017888,0.0017888,0.0017888
34,156.356,1.3028,1.12808,0.01758,0.67381,0.53333,0.57406,0.33322,1.55757,1.84675,0.03507,0.0017822,0.0017822,0.0017822
