epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6024,1.20579,0.76598,0.61528,0.00228,0.03321,0.0112,0.00346,1.48683,0.85644,2.71865,1.96296e-05,1.96296e-05,0.08039
2,50.0468,0.87417,0.9489,0.41205,0.07233,0.06786,0.03814,0.01525,1.11133,1.05298,1.58772,3.88378e-05,3.88378e-05,0.0604092
3,73.338,0.63702,1.13619,0.28318,0.06276,0.19678,0.04521,0.01142,0.94777,1.04612,1.28255,5.72468e-05,5.72468e-05,0.0404276
4,96.2231,0.55845,1.16614,0.23734,0.06449,0.37807,0.07711,0.03324,0.60523,1.65241,0.74044,7.48566e-05,7.48566e-05,0.0204452
5,119.27,0.41409,1.31325,0.1813,0.37953,0.25485,0.09556,0.04651,0.5536,1.63092,0.65908,9.16672e-05,9.16672e-05,0.000462038
6,142.528,0.37124,1.31749,0.1554,0.42709,0.19114,0.09771,0.05233,0.47268,1.63029,0.5902,9.001e-05,9.001e-05,9.001e-05
7,165.774,0.35202,1.33785,0.14463,0.38248,0.24822,0.10357,0.04935,0.49441,1.78397,0.57825,8.8012e-05,8.8012e-05,8.8012e-05
8,188.499,0.37739,1.2912,0.14918,0.38826,0.24548,0.10034,0.05256,0.45379,1.69849,0.51342,8.6014e-05,8.6014e-05,8.6014e-05
9,211.763,0.3498,1.3403,0.1438,0.38728,0.21147,0.07623,0.03697,0.52165,1.62034,0.56228,8.4016e-05,8.4016e-05,8.4016e-05
10,234.455,0.33408,1.31496,0.1408,0.37273,0.28762,0.08318,0.03798,0.48719,1.65386,0.55143,8.2018e-05,8.2018e-05,8.2018e-05
11,257.052,0.33728,1.34353,0.14587,0.37746,0.21711,0.08116,0.04163,0.51842,1.67167,0.54683,8.002e-05,8.002e-05,8.002e-05
12,279.826,0.3423,1.32161,0.13701,0.05806,0.34947,0.07756,0.03776,0.47154,1.71268,0.51171,7.8022e-05,7.8022e-05,7.8022e-05
13,302.531,0.32671,1.33614,0.13918,0.36638,0.2673,0.07724,0.03351,0.5251,1.72972,0.544,7.6024e-05,7.6024e-05,7.6024e-05
14,325.213,0.33304,1.36089,0.14107,0.36582,0.33375,0.08023,0.03857,0.47294,1.74888,0.52923,7.4026e-05,7.4026e-05,7.4026e-05
15,347.99,0.31545,1.34932,0.13736,0.03349,0.32014,0.08323,0.04055,0.48933,1.69723,0.54916,7.2028e-05,7.2028e-05,7.2028e-05
16,370.648,0.31165,1.35697,0.12114,0.37681,0.14111,0.08973,0.04285,0.45791,1.7418,0.51391,7.003e-05,7.003e-05,7.003e-05
17,393.418,0.30799,1.36494,0.13006,0.38113,0.14518,0.07924,0.04056,0.48676,1.74544,0.50922,6.8032e-05,6.8032e-05,6.8032e-05
18,416.382,0.3029,1.36643,0.12278,0.36901,0.22117,0.0693,0.03474,0.51756,1.66455,0.56154,6.6034e-05,6.6034e-05,6.6034e-05
19,439.13,0.2917,1.38109,0.12826,0.37686,0.19131,0.06027,0.03037,0.48461,1.73487,0.53113,6.4036e-05,6.4036e-05,6.4036e-05
20,461.913,0.293,1.36846,0.12037,0.38019,0.14535,0.06967,0.03704,0.46127,1.8247,0.52548,6.2038e-05,6.2038e-05,6.2038e-05
21,484.72,0.29633,1.38342,0.11705,0.36788,0.20491,0.06757,0.03041,0.48578,1.91263,0.52433,6.004e-05,6.004e-05,6.004e-05
22,507.322,0.30282,1.36371,0.13837,0.36167,0.21852,0.06033,0.03226,0.48246,1.69891,0.54227,5.8042e-05,5.8042e-05,5.8042e-05
23,529.755,0.3021,1.34347,0.13172,0.36629,0.16152,0.06256,0.02771,0.49618,1.75799,0.54299,5.6044e-05,5.6044e-05,5.6044e-05
24,552.297,0.28995,1.38515,0.11492,0.35754,0.28912,0.06803,0.02789,0.45396,1.96982,0.52396,5.4046e-05,5.4046e-05,5.4046e-05
25,574.677,0.28812,1.37294,0.12556,0.3583,0.1738,0.05633,0.02378,0.52454,1.74708,0.56647,5.2048e-05,5.2048e-05,5.2048e-05
26,597.13,0.29089,1.3593,0.118,0.36569,0.15472,0.05449,0.02645,0.52884,1.84713,0.54359,5.005e-05,5.005e-05,5.005e-05
27,619.501,0.26726,1.46289,0.11954,0.36182,0.13166,0.05783,0.02569,0.5063,1.80643,0.54389,4.8052e-05,4.8052e-05,4.8052e-05
28,642.081,0.27941,1.36075,0.12021,0.35811,0.19014,0.06389,0.02941,0.47741,1.77355,0.52914,4.6054e-05,4.6054e-05,4.6054e-05
