epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0164,0.99016,1.04014,0.58191,0.68013,0.0935,0.00927,0.00331,1.29914,0.81676,2.78379,1.96825e-05,1.96825e-05,0.0803371
2,56.8519,0.71856,1.16492,0.37228,0.34463,0.1397,0.02241,0.00687,0.99513,1.24933,1.63705,3.88897e-05,3.88897e-05,0.0603564
3,84.07,0.63996,1.18139,0.33972,0.34682,0.15721,0.02465,0.01209,0.60341,1.90761,0.88095,5.72976e-05,5.72976e-05,0.0403748
4,111.067,0.49722,1.34659,0.24302,0.34117,0.37191,0.02984,0.01764,0.58608,2.00876,0.74899,7.49064e-05,7.49064e-05,0.0203924
5,137.991,0.44893,1.34102,0.2225,0.3934,0.14501,0.0435,0.02359,0.53074,2.12837,0.7051,9.17159e-05,9.17159e-05,0.000409176
6,164.721,0.41923,1.39041,0.19722,0.34562,0.31732,0.03918,0.0215,0.58372,2.22693,0.77464,9.001e-05,9.001e-05,9.001e-05
7,190.849,0.43959,1.37389,0.2211,0.67781,0.17073,0.04589,0.027,0.53455,2.29765,0.68671,8.8012e-05,8.8012e-05,8.8012e-05
8,217.512,0.39646,1.39615,0.19966,0.42039,0.17347,0.04446,0.02533,0.50818,2.2183,0.6988,8.6014e-05,8.6014e-05,8.6014e-05
9,243.647,0.40147,1.3579,0.20535,0.6783,0.16667,0.03815,0.0212,0.55649,2.29785,0.69531,8.4016e-05,8.4016e-05,8.4016e-05
10,269.54,0.39516,1.3779,0.18678,0.68034,0.18293,0.05643,0.02915,0.48378,2.31297,0.62075,8.2018e-05,8.2018e-05,8.2018e-05
11,296.392,0.36038,1.39947,0.18402,0.34971,0.3038,0.05463,0.02889,0.49975,2.3095,0.63118,8.002e-05,8.002e-05,8.002e-05
12,322.205,0.36538,1.38598,0.1703,0.68499,0.11382,0.04393,0.02164,0.53574,2.30844,0.6952,7.8022e-05,7.8022e-05,7.8022e-05
13,348.365,0.34131,1.3989,0.16559,0.68572,0.15041,0.04819,0.02323,0.50669,2.17819,0.7037,7.6024e-05,7.6024e-05,7.6024e-05
14,374.627,0.34764,1.37145,0.15897,0.35784,0.20607,0.05854,0.03091,0.57157,2.26249,0.7128,7.4026e-05,7.4026e-05,7.4026e-05
15,401.582,0.37794,1.34545,0.17338,0.68504,0.14634,0.06477,0.03537,0.52566,2.22528,0.69403,7.2028e-05,7.2028e-05,7.2028e-05
16,428.319,0.35885,1.35824,0.18023,0.36927,0.14642,0.05569,0.03562,0.50506,2.17383,0.71853,7.003e-05,7.003e-05,7.003e-05
17,454.824,0.36647,1.36233,0.1836,0.36019,0.2712,0.04506,0.02828,0.51518,2.24952,0.69765,6.8032e-05,6.8032e-05,6.8032e-05
