epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1073,0.8197,0.95115,0.40112,0.38367,0.11565,0.06823,0.02988,1.00136,1.10631,1.58202,1.96875e-05,1.96875e-05,0.0803322
2,55.094,0.4641,1.08711,0.19196,0.24877,0.3138,0.18723,0.07953,0.88565,0.86353,1.36919,3.88945e-05,3.88945e-05,0.0603514
3,82.4267,0.48664,1.03174,0.18438,0.5485,0.32603,0.30131,0.15461,0.6334,0.96096,0.82469,5.73024e-05,5.73024e-05,0.0403698
4,109.658,0.41714,1.07284,0.16702,0.29295,0.41428,0.36346,0.17547,0.67202,1.03697,0.87681,7.4911e-05,7.4911e-05,0.0203874
5,136.725,0.38497,0.95071,0.15654,0.50831,0.41648,0.4183,0.22137,0.69227,0.95495,0.90386,9.17205e-05,9.17205e-05,0.00040422
6,163.633,0.34232,0.74474,0.14738,0.53134,0.54576,0.53903,0.27651,0.66876,0.92051,0.89187,9.001e-05,9.001e-05,9.001e-05
7,190.713,0.34797,0.56801,0.15253,0.6416,0.49244,0.51064,0.27088,0.69034,0.93793,0.883,8.8012e-05,8.8012e-05,8.8012e-05
8,217.622,0.34086,0.48541,0.15398,0.48692,0.50855,0.41884,0.21989,0.71602,1.15577,0.93307,8.6014e-05,8.6014e-05,8.6014e-05
9,244.473,0.32289,0.46349,0.14461,0.51248,0.47058,0.45853,0.23047,0.66185,1.06116,0.85695,8.4016e-05,8.4016e-05,8.4016e-05
10,271.381,0.32452,0.46563,0.14888,0.5306,0.4463,0.42626,0.22058,0.69946,1.0847,0.97557,8.2018e-05,8.2018e-05,8.2018e-05
11,298.275,0.32292,0.45527,0.14791,0.57771,0.44665,0.48651,0.24643,0.65754,1.25196,0.882,8.002e-05,8.002e-05,8.002e-05
12,325.09,0.31974,0.44948,0.14898,0.44027,0.43883,0.42648,0.24949,0.60558,0.98031,0.79915,7.8022e-05,7.8022e-05,7.8022e-05
13,351.933,0.30111,0.45915,0.13341,0.5339,0.52881,0.51183,0.26458,0.70529,1.04631,0.9887,7.6024e-05,7.6024e-05,7.6024e-05
14,378.622,0.30536,0.45842,0.13677,0.55839,0.3577,0.37684,0.1968,0.75612,0.88208,0.97046,7.4026e-05,7.4026e-05,7.4026e-05
15,405.316,0.32233,0.4465,0.14482,0.59286,0.50387,0.53982,0.28052,0.686,0.76757,0.94729,7.2028e-05,7.2028e-05,7.2028e-05
16,432.8,0.2966,0.42641,0.13463,0.65301,0.50322,0.52347,0.28808,0.71392,0.96819,0.99511,7.003e-05,7.003e-05,7.003e-05
17,460,0.29907,0.43466,0.13557,0.64288,0.44779,0.50409,0.2861,0.66418,1.25208,0.8741,6.8032e-05,6.8032e-05,6.8032e-05
18,487.407,0.2873,0.42522,0.12847,0.5246,0.50179,0.51054,0.2801,0.65636,0.9924,0.83652,6.6034e-05,6.6034e-05,6.6034e-05
19,514.452,0.28971,0.4269,0.12315,0.55064,0.5029,0.44663,0.25328,0.6709,0.95793,0.86541,6.4036e-05,6.4036e-05,6.4036e-05
20,541.265,0.28378,0.40185,0.12097,0.59686,0.4416,0.47839,0.25813,0.66804,1.12072,0.88682,6.2038e-05,6.2038e-05,6.2038e-05
21,568.318,0.27749,0.40944,0.1275,0.51943,0.47907,0.4773,0.26616,0.6537,0.92777,0.8611,6.004e-05,6.004e-05,6.004e-05
