epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,184.284,1.60911,1.70112,0.02373,0.58549,0.53828,0.55221,0.25605,1.75478,1.57155,0.03633,0.00129705,0.00129705,0.00129705
43,188.449,1.60121,1.67306,0.02293,0.5307,0.56904,0.53485,0.25356,1.77175,1.5998,0.03743,0.0012921,0.0012921,0.0012921
44,192.323,1.57487,1.66667,0.02225,0.60816,0.47761,0.51916,0.25733,1.84382,1.59593,0.04111,0.00128715,0.00128715,0.00128715
45,196.687,1.5921,1.68271,0.02131,0.70491,0.56037,0.59912,0.27567,1.80589,1.5228,0.04154,0.0012822,0.0012822,0.0012822
46,201.09,1.56229,1.63663,0.0232,0.57066,0.44696,0.52767,0.24714,1.7708,2.2516,0.03998,0.00127725,0.00127725,0.00127725
47,205.489,1.57773,1.65823,0.02158,0.71715,0.53956,0.59657,0.27349,1.80278,1.61333,0.0386,0.0012723,0.0012723,0.0012723
48,209.607,1.54857,1.65385,0.02188,0.62328,0.54424,0.57186,0.27375,1.78526,1.5266,0.03963,0.00126735,0.00126735,0.00126735
49,213.78,1.57056,1.58913,0.02255,0.64707,0.59411,0.63021,0.31829,1.76384,1.4415,0.03928,0.0012624,0.0012624,0.0012624
50,218.09,1.52336,1.58641,0.02161,0.62827,0.56175,0.61845,0.28537,1.85186,1.48164,0.04353,0.00125745,0.00125745,0.00125745
51,222.545,1.54392,1.57766,0.02241,0.59946,0.56603,0.61523,0.29076,1.79393,1.55003,0.04037,0.0012525,0.0012525,0.0012525
52,226.822,1.55667,1.57057,0.02168,0.57207,0.53443,0.5749,0.28215,1.72766,1.59728,0.03827,0.00124755,0.00124755,0.00124755
53,231.463,1.53051,1.52998,0.02048,0.53553,0.50067,0.54305,0.30057,1.62205,1.836,0.03359,0.0012426,0.0012426,0.0012426
54,235.783,1.54612,1.56324,0.02237,0.60467,0.53813,0.58323,0.26887,1.78062,1.56319,0.04003,0.00123765,0.00123765,0.00123765
55,239.769,1.52198,1.56524,0.02086,0.59824,0.53671,0.58885,0.29219,1.6969,1.69339,0.03881,0.0012327,0.0012327,0.0012327
56,243.839,1.53634,1.55886,0.02017,0.70311,0.56756,0.58456,0.29076,1.70984,1.50392,0.03787,0.00122775,0.00122775,0.00122775
57,248.053,1.54631,1.51431,0.02064,0.59839,0.55911,0.60281,0.30338,1.72054,1.58495,0.03858,0.0012228,0.0012228,0.0012228
58,252.43,1.56338,1.55715,0.021,0.71157,0.53035,0.63005,0.30891,1.78053,1.57318,0.04088,0.00121785,0.00121785,0.00121785
59,256.826,1.5601,1.49027,0.02166,0.6239,0.56761,0.61591,0.32228,1.73761,1.43055,0.0389,0.0012129,0.0012129,0.0012129
60,261.32,1.54397,1.50548,0.02067,0.64468,0.52879,0.57566,0.28357,1.75375,1.57618,0.04003,0.00120795,0.00120795,0.00120795
61,265.622,1.50362,1.5623,0.02056,0.5987,0.556,0.59659,0.31356,1.64135,1.50428,0.0356,0.001203,0.001203,0.001203
62,269.687,1.50822,1.50051,0.02086,0.56835,0.55009,0.60197,0.29546,1.6385,1.67939,0.03598,0.00119805,0.00119805,0.00119805
63,273.996,1.52352,1.48387,0.02164,0.75031,0.50271,0.62259,0.31782,1.72888,1.59177,0.03937,0.0011931,0.0011931,0.0011931
64,278.291,1.48973,1.51573,0.02138,0.53692,0.5307,0.5774,0.30585,1.60245,1.67421,0.03509,0.00118815,0.00118815,0.00118815
65,282.508,1.49761,1.51078,0.02098,0.65412,0.56357,0.61634,0.32103,1.65792,1.48873,0.03593,0.0011832,0.0011832,0.0011832
66,286.551,1.52701,1.45489,0.02182,0.68458,0.63349,0.65033,0.31353,1.7699,1.38116,0.03814,0.00117825,0.00117825,0.00117825
67,290.845,1.5173,1.44386,0.02031,0.6867,0.52611,0.63259,0.3385,1.67922,1.47879,0.03649,0.0011733,0.0011733,0.0011733
68,295.259,1.52426,1.40049,0.02174,0.65393,0.56372,0.62151,0.32198,1.74266,1.5615,0.03884,0.00116835,0.00116835,0.00116835
69,299.805,1.51319,1.41945,0.01992,0.67314,0.52796,0.58918,0.28934,1.75818,1.59944,0.03936,0.0011634,0.0011634,0.0011634
70,304.07,1.44542,1.45713,0.01972,0.74871,0.59491,0.6617,0.34299,1.61914,1.41999,0.03517,0.00115845,0.00115845,0.00115845
71,308.418,1.47801,1.45385,0.02018,0.66192,0.65233,0.64839,0.35156,1.56638,1.51856,0.03337,0.0011535,0.0011535,0.0011535
72,312.915,1.49482,1.43523,0.02143,0.63246,0.57003,0.62596,0.30977,1.71517,1.43862,0.03792,0.00114855,0.00114855,0.00114855
73,316.952,1.50363,1.41949,0.02073,0.59567,0.58883,0.61617,0.31115,1.7494,1.60803,0.04006,0.0011436,0.0011436,0.0011436
74,320.938,1.49342,1.5011,0.02049,0.57216,0.62418,0.62386,0.31805,1.75913,1.49181,0.03865,0.00113865,0.00113865,0.00113865
75,325.42,1.44508,1.39263,0.01985,0.67936,0.52894,0.61856,0.31741,1.66562,1.64726,0.03493,0.0011337,0.0011337,0.0011337
76,329.363,1.49271,1.43828,0.01988,0.67546,0.62287,0.61551,0.34752,1.55758,1.51649,0.03207,0.00112875,0.00112875,0.00112875
77,333.662,1.47704,1.40722,0.01964,0.68278,0.62667,0.67695,0.35117,1.64772,1.39134,0.03613,0.0011238,0.0011238,0.0011238
78,337.866,1.49555,1.35615,0.01969,0.62011,0.53309,0.59055,0.30988,1.61926,1.50248,0.03356,0.00111885,0.00111885,0.00111885
79,342.245,1.50098,1.39013,0.01994,0.67082,0.55437,0.59526,0.29849,1.75927,1.45428,0.03657,0.0011139,0.0011139,0.0011139
80,346.94,1.51692,1.43993,0.02077,0.65718,0.58652,0.61649,0.3333,1.68175,1.4894,0.03532,0.00110895,0.00110895,0.00110895
81,351.123,1.45356,1.34685,0.01969,0.6694,0.5753,0.6129,0.3109,1.68712,1.54664,0.03443,0.001104,0.001104,0.001104
82,355.496,1.49894,1.35127,0.02218,0.70882,0.55769,0.62727,0.33942,1.64872,1.39593,0.03373,0.00109905,0.00109905,0.00109905
83,359.592,1.4506,1.40907,0.01935,0.73567,0.55133,0.65738,0.33787,1.64304,1.45499,0.03493,0.0010941,0.0010941,0.0010941
84,363.838,1.48955,1.45179,0.02015,0.6803,0.60167,0.64936,0.34677,1.62237,1.49012,0.034,0.00108915,0.00108915,0.00108915
85,367.782,1.45961,1.35954,0.02008,0.63189,0.56703,0.60279,0.30842,1.61203,1.46719,0.03255,0.0010842,0.0010842,0.0010842
86,372.098,1.49269,1.42637,0.02061,0.74907,0.59687,0.66516,0.34158,1.5471,1.50118,0.03138,0.00107925,0.00107925,0.00107925
87,376.25,1.49763,1.38954,0.02013,0.65768,0.58609,0.6065,0.33728,1.55751,1.56641,0.03182,0.0010743,0.0010743,0.0010743
88,380.501,1.47376,1.37919,0.01922,0.64467,0.61258,0.65535,0.33685,1.65144,1.52225,0.03514,0.00106935,0.00106935,0.00106935
89,384.774,1.48092,1.35556,0.01958,0.74382,0.60481,0.66167,0.35668,1.59262,1.51128,0.03404,0.0010644,0.0010644,0.0010644
90,388.992,1.46339,1.31955,0.02082,0.72871,0.58272,0.6189,0.31402,1.67314,1.4606,0.03641,0.00105945,0.00105945,0.00105945
91,393.626,1.43039,1.313,0.01944,0.69336,0.60185,0.64568,0.32605,1.63222,1.5812,0.03643,0.0010545,0.0010545,0.0010545
92,397.721,1.41955,1.36623,0.02008,0.70165,0.58095,0.66594,0.3443,1.59693,1.42839,0.03418,0.00104955,0.00104955,0.00104955
93,402.003,1.45553,1.37177,0.02023,0.69958,0.5951,0.67665,0.37835,1.47943,1.39803,0.02917,0.0010446,0.0010446,0.0010446
94,406.15,1.40343,1.32612,0.01858,0.75001,0.62637,0.68673,0.36721,1.59022,1.45927,0.03321,0.00103965,0.00103965,0.00103965
95,410.323,1.44013,1.37952,0.01899,0.76032,0.57196,0.68743,0.35366,1.62074,1.44299,0.0352,0.0010347,0.0010347,0.0010347
96,414.514,1.40785,1.34926,0.019,0.67525,0.62029,0.66973,0.38092,1.47824,1.52436,0.02997,0.00102975,0.00102975,0.00102975
97,418.93,1.42947,1.38682,0.02023,0.70878,0.50973,0.58667,0.31329,1.61625,1.63102,0.03248,0.0010248,0.0010248,0.0010248
98,423.115,1.44795,1.37269,0.01873,0.7291,0.57548,0.63392,0.35257,1.54871,1.46447,0.03235,0.00101985,0.00101985,0.00101985
99,427.323,1.47451,1.33469,0.01986,0.70037,0.63819,0.66115,0.36633,1.5605,1.40538,0.03249,0.0010149,0.0010149,0.0010149
100,431.475,1.437,1.33778,0.01822,0.72071,0.66614,0.68378,0.35262,1.58447,1.39417,0.0344,0.00100995,0.00100995,0.00100995
101,435.809,1.43301,1.35685,0.02,0.66625,0.61493,0.64562,0.34988,1.62838,1.37259,0.03384,0.001005,0.001005,0.001005
102,440.32,1.45693,1.35581,0.01866,0.66799,0.61323,0.66958,0.38104,1.57496,1.38392,0.03268,0.00100005,0.00100005,0.00100005
103,444.235,1.43254,1.27924,0.02025,0.73793,0.62016,0.66344,0.37254,1.56849,1.43228,0.03202,0.0009951,0.0009951,0.0009951
104,448.529,1.43526,1.28499,0.01882,0.79921,0.5162,0.6718,0.35654,1.60069,1.43674,0.03431,0.00099015,0.00099015,0.00099015
105,452.472,1.42008,1.33282,0.0182,0.67126,0.5769,0.65259,0.36438,1.48922,1.39719,0.03082,0.0009852,0.0009852,0.0009852
106,456.831,1.38817,1.35644,0.01814,0.84653,0.61965,0.71468,0.38366,1.43734,1.37624,0.02899,0.00098025,0.00098025,0.00098025
107,461.161,1.44684,1.27786,0.01976,0.62423,0.60598,0.6309,0.35211,1.55351,1.33691,0.03151,0.0009753,0.0009753,0.0009753
108,465.533,1.41342,1.27664,0.01957,0.649,0.58587,0.64789,0.35559,1.54817,1.39134,0.03194,0.00097035,0.00097035,0.00097035
109,469.467,1.37285,1.22071,0.01815,0.79826,0.59765,0.67486,0.36049,1.53377,1.30823,0.03187,0.0009654,0.0009654,0.0009654
110,473.628,1.407,1.2466,0.0183,0.70605,0.61797,0.6502,0.35132,1.45867,1.42352,0.02857,0.00096045,0.00096045,0.00096045
111,477.773,1.36686,1.23164,0.01761,0.75719,0.59137,0.68589,0.38891,1.47773,1.403,0.02966,0.0009555,0.0009555,0.0009555
112,482.028,1.41566,1.29215,0.0182,0.7517,0.56771,0.68288,0.37568,1.48379,1.34927,0.02957,0.00095055,0.00095055,0.00095055
113,485.999,1.41214,1.28385,0.0185,0.78887,0.59191,0.68452,0.3718,1.56741,1.38269,0.03247,0.0009456,0.0009456,0.0009456
114,490.617,1.37034,1.22255,0.01939,0.75154,0.6125,0.68809,0.40421,1.42047,1.32672,0.0274,0.00094065,0.00094065,0.00094065
115,494.893,1.38622,1.28701,0.01943,0.69014,0.5759,0.65206,0.37269,1.43443,1.52387,0.02946,0.0009357,0.0009357,0.0009357
116,498.964,1.40873,1.23516,0.01881,0.74459,0.5845,0.67936,0.38703,1.50744,1.36819,0.03105,0.00093075,0.00093075,0.00093075
117,503.123,1.39139,1.25673,0.01751,0.63143,0.57602,0.63727,0.355,1.53274,1.45218,0.03186,0.0009258,0.0009258,0.0009258
118,507.284,1.40383,1.23187,0.01863,0.77919,0.60634,0.67476,0.36214,1.5674,1.47932,0.03112,0.00092085,0.00092085,0.00092085
