epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7213,1.85709,0.42181,1.36349,0,0,0,0,1.8151,0.96984,3.93226,1.96491e-05,1.96491e-05,0.0803705
2,51.9266,1.54198,0.53149,0.9451,0.00177,0.33533,0.01446,0.00496,1.3018,0.88673,1.87602,3.88569e-05,3.88569e-05,0.0603897
3,76.0245,1.40713,0.61834,0.77353,0.01179,0.32389,0.00907,0.00163,1.05795,1.59923,1.51677,5.72655e-05,5.72655e-05,0.0404081
4,100.011,1.11557,0.83165,0.5939,0.01041,0.51403,0.02899,0.00847,0.77783,1.45056,1.16954,7.4875e-05,7.4875e-05,0.0204258
5,124.146,1.08253,0.86204,0.53167,0.34305,0.33134,0.04359,0.01023,0.87345,1.46296,1.20872,9.16852e-05,9.16852e-05,0.000442562
6,148.31,1.046,0.87974,0.5091,0.00946,0.65128,0.0456,0.01479,0.79363,1.51639,1.19697,9.001e-05,9.001e-05,9.001e-05
7,171.98,0.90237,0.97885,0.48446,0.0295,0.33081,0.04634,0.01699,0.73421,1.75459,1.14836,8.8012e-05,8.8012e-05,8.8012e-05
8,195.829,0.94658,0.95497,0.44642,0.35403,0.22789,0.03708,0.00923,0.79133,1.68814,1.20921,8.6014e-05,8.6014e-05,8.6014e-05
9,220.123,0.81407,1.05097,0.41771,0.02963,0.38336,0.04401,0.01558,0.69696,1.79204,1.04841,8.4016e-05,8.4016e-05,8.4016e-05
10,243.643,0.81155,1.03823,0.40468,0.36973,0.13423,0.05476,0.01785,0.70901,1.97322,1.13039,8.2018e-05,8.2018e-05,8.2018e-05
11,267.347,0.7843,1.08648,0.4108,0.36816,0.13962,0.05593,0.02026,0.651,1.78079,1.02725,8.002e-05,8.002e-05,8.002e-05
12,291.457,0.76995,1.08657,0.35982,0.37724,0.25361,0.05696,0.01881,0.67711,1.92538,1.06038,7.8022e-05,7.8022e-05,7.8022e-05
13,315.098,0.74827,1.1184,0.38531,0.39885,0.18765,0.05727,0.02088,0.60554,1.84417,0.89221,7.6024e-05,7.6024e-05,7.6024e-05
14,339.253,0.69951,1.137,0.35901,0.39058,0.15464,0.05961,0.02381,0.59861,2.02427,0.88831,7.4026e-05,7.4026e-05,7.4026e-05
15,363.893,0.74286,1.0973,0.33423,0.39205,0.16542,0.05653,0.02089,0.60623,1.96434,0.93272,7.2028e-05,7.2028e-05,7.2028e-05
16,387.688,0.66966,1.1337,0.30766,0.43159,0.21014,0.06396,0.02321,0.58843,1.93657,0.81369,7.003e-05,7.003e-05,7.003e-05
17,411.481,0.68649,1.14926,0.32445,0.37792,0.17364,0.05521,0.01951,0.57116,2.18499,0.73462,6.8032e-05,6.8032e-05,6.8032e-05
18,435.316,0.6197,1.21002,0.29795,0.39692,0.14908,0.06573,0.02364,0.5539,1.9624,0.73634,6.6034e-05,6.6034e-05,6.6034e-05
19,458.943,0.65798,1.15463,0.2857,0.70667,0.0935,0.07211,0.02796,0.59446,2.26506,0.87735,6.4036e-05,6.4036e-05,6.4036e-05
20,482.88,0.60879,1.22131,0.29702,0.37868,0.19811,0.06777,0.02264,0.58958,2.05866,0.80573,6.2038e-05,6.2038e-05,6.2038e-05
21,506.462,0.63294,1.17569,0.29281,0.44201,0.14775,0.06065,0.02582,0.56264,2.14938,0.77816,6.004e-05,6.004e-05,6.004e-05
22,530.074,0.5572,1.28739,0.2587,0.43476,0.21968,0.07902,0.0321,0.523,2.11387,0.6979,5.8042e-05,5.8042e-05,5.8042e-05
23,553.89,0.61485,1.19221,0.28676,0.35382,0.13821,0.06123,0.0261,0.51387,2.06165,0.74286,5.6044e-05,5.6044e-05,5.6044e-05
24,577.365,0.55318,1.2629,0.25053,0.49221,0.20192,0.08008,0.04179,0.51518,2.3051,0.704,5.4046e-05,5.4046e-05,5.4046e-05
25,601.255,0.58277,1.22907,0.25842,0.41928,0.15314,0.07738,0.03511,0.50497,2.06181,0.73414,5.2048e-05,5.2048e-05,5.2048e-05
26,625.51,0.54152,1.24237,0.25424,0.54827,0.14908,0.09132,0.04408,0.51078,2.21138,0.68754,5.005e-05,5.005e-05,5.005e-05
27,649.426,0.5317,1.282,0.24712,0.4883,0.13505,0.07877,0.03663,0.54023,2.22709,0.73845,4.8052e-05,4.8052e-05,4.8052e-05
28,672.794,0.54356,1.24544,0.22149,0.69091,0.13415,0.07062,0.0313,0.50971,2.33807,0.68198,4.6054e-05,4.6054e-05,4.6054e-05
29,696.637,0.52307,1.28963,0.26023,0.65067,0.13688,0.07632,0.03603,0.51471,2.19731,0.68831,4.4056e-05,4.4056e-05,4.4056e-05
30,720.121,0.5508,1.23946,0.26635,0.36869,0.17723,0.06345,0.02983,0.53717,2.20577,0.72903,4.2058e-05,4.2058e-05,4.2058e-05
31,743.618,0.49818,1.29324,0.22025,0.37052,0.15721,0.06199,0.03554,0.51624,2.31905,0.69607,4.006e-05,4.006e-05,4.006e-05
32,767.539,0.52846,1.25042,0.22659,0.68503,0.18293,0.0661,0.03575,0.52196,2.06949,0.71627,3.8062e-05,3.8062e-05,3.8062e-05
33,791.432,0.49151,1.27502,0.21761,0.36255,0.17894,0.05749,0.02899,0.52462,2.25425,0.70858,3.6064e-05,3.6064e-05,3.6064e-05
34,815.394,0.46232,1.32423,0.21585,0.4384,0.19114,0.06795,0.02947,0.52367,2.13911,0.69842,3.4066e-05,3.4066e-05,3.4066e-05
35,839.281,0.48582,1.26922,0.22032,0.68089,0.18293,0.05893,0.02548,0.51278,2.19512,0.6923,3.2068e-05,3.2068e-05,3.2068e-05
36,862.565,0.45616,1.36103,0.2182,0.34663,0.18699,0.05409,0.03097,0.49387,2.38494,0.66818,3.007e-05,3.007e-05,3.007e-05
37,886.553,0.44296,1.33909,0.20828,0.36033,0.36229,0.06253,0.03239,0.50779,2.16856,0.70453,2.8072e-05,2.8072e-05,2.8072e-05
38,910.507,0.46562,1.31279,0.21775,0.41782,0.24133,0.06787,0.03223,0.50354,2.20389,0.71785,2.6074e-05,2.6074e-05,2.6074e-05
39,934.599,0.45367,1.31796,0.20298,0.5929,0.18566,0.06347,0.02791,0.50671,2.2729,0.71299,2.4076e-05,2.4076e-05,2.4076e-05
40,958.792,0.45189,1.32941,0.19483,0.68597,0.15041,0.06485,0.03095,0.50756,2.2501,0.71194,2.2078e-05,2.2078e-05,2.2078e-05
41,976.751,0.40279,1.91203,0.46548,0.35425,0.24681,0.03979,0.02045,0.53184,1.65763,0.6968,2.008e-05,2.008e-05,2.008e-05
42,990.465,0.32811,1.7438,0.3407,0.37495,0.19935,0.03528,0.01859,0.49912,1.5766,0.59539,1.8082e-05,1.8082e-05,1.8082e-05
43,1004.43,0.31417,1.72449,0.30223,0.36157,0.15721,0.0489,0.02364,0.45028,1.62907,0.5029,1.6084e-05,1.6084e-05,1.6084e-05
44,1018.08,0.34619,1.69119,0.32305,0.35321,0.21005,0.04719,0.02373,0.4423,1.66951,0.47336,1.4086e-05,1.4086e-05,1.4086e-05
45,1031.68,0.32443,1.76822,0.28829,0.35973,0.19561,0.05209,0.02511,0.42775,1.73163,0.43623,1.2088e-05,1.2088e-05,1.2088e-05
46,1045.46,0.31763,1.8071,0.28341,0.35655,0.18027,0.0501,0.02301,0.43747,1.7315,0.44862,1.009e-05,1.009e-05,1.009e-05
47,1059.01,0.27676,1.83361,0.22912,0.35347,0.24548,0.05384,0.02456,0.42353,1.73898,0.43464,8.092e-06,8.092e-06,8.092e-06
48,1072.49,0.29632,1.81884,0.22988,0.36026,0.22515,0.05445,0.02632,0.42877,1.72331,0.43085,6.094e-06,6.094e-06,6.094e-06
49,1086.63,0.2618,1.8339,0.2174,0.36094,0.22242,0.06188,0.0283,0.44043,1.69605,0.45524,4.096e-06,4.096e-06,4.096e-06
50,1100.05,0.28832,1.78572,0.23695,0.36612,0.21429,0.06962,0.03291,0.4194,1.72302,0.42902,2.098e-06,2.098e-06,2.098e-06
