epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4474,0.77043,1.04803,0.31006,0.36324,0.11705,0.01768,0.00396,1.44527,0.73695,2.36911,1.97059e-05,1.97059e-05,0.0803138
2,61.3787,0.57053,1.1276,0.20642,0.18769,0.35369,0.16758,0.08095,0.84394,1.16361,1.25448,3.89126e-05,3.89126e-05,0.060333
3,90.1197,0.39777,1.20002,0.15609,0.18631,0.34821,0.19664,0.10275,0.67499,1.31988,0.84402,5.732e-05,5.732e-05,0.0403514
4,118.598,0.31932,1.18307,0.13011,0.4723,0.43164,0.31144,0.16939,0.69118,1.00862,0.90827,7.49283e-05,7.49283e-05,0.020369
5,147.18,0.31536,1.16434,0.13287,0.25081,0.35618,0.29504,0.16922,0.64898,1.02195,0.90524,9.17374e-05,9.17374e-05,0.000385855
6,174.866,0.2669,1.17207,0.10993,0.48133,0.37898,0.32759,0.17821,0.68335,0.95876,0.91024,9.001e-05,9.001e-05,9.001e-05
7,203.219,0.26293,1.141,0.10189,0.35453,0.38313,0.35974,0.21216,0.70227,0.88036,1.00072,8.8012e-05,8.8012e-05,8.8012e-05
8,231.619,0.27325,1.07654,0.11322,0.43678,0.36586,0.35387,0.20915,0.66283,0.90804,0.8539,8.6014e-05,8.6014e-05,8.6014e-05
9,259.517,0.29948,0.91894,0.12397,0.47785,0.42826,0.45155,0.25006,0.61745,1.06611,0.78761,8.4016e-05,8.4016e-05,8.4016e-05
10,287.888,0.30862,0.64529,0.12942,0.51035,0.45847,0.44834,0.23818,0.66186,1.18538,0.82663,8.2018e-05,8.2018e-05,8.2018e-05
11,316,0.31191,0.48792,0.13617,0.44844,0.37446,0.35997,0.19019,0.69158,1.04977,0.93098,8.002e-05,8.002e-05,8.002e-05
12,343.975,0.29558,0.43307,0.12581,0.44114,0.37763,0.35995,0.18805,0.69506,1.21949,0.92494,7.8022e-05,7.8022e-05,7.8022e-05
13,371.711,0.3025,0.44194,0.13037,0.5133,0.39694,0.38746,0.20203,0.71199,1.18131,1.02749,7.6024e-05,7.6024e-05,7.6024e-05
14,399.555,0.28578,0.43356,0.12914,0.52724,0.45579,0.40872,0.22342,0.71633,0.97085,0.94856,7.4026e-05,7.4026e-05,7.4026e-05
15,427.645,0.27392,0.41995,0.12602,0.48096,0.49709,0.438,0.23796,0.70869,0.89992,0.97037,7.2028e-05,7.2028e-05,7.2028e-05
16,455.795,0.28318,0.42431,0.12578,0.64386,0.45365,0.47327,0.24122,0.72043,0.83471,0.9897,7.003e-05,7.003e-05,7.003e-05
17,483.917,0.28261,0.40262,0.12301,0.56591,0.50229,0.46676,0.2513,0.69131,1.00741,0.91259,6.8032e-05,6.8032e-05,6.8032e-05
18,512.432,0.27857,0.41884,0.12515,0.49067,0.51598,0.45809,0.25087,0.69508,0.96034,0.94205,6.6034e-05,6.6034e-05,6.6034e-05
19,540.547,0.28383,0.39949,0.12227,0.63301,0.47219,0.46668,0.2598,0.67868,0.80794,0.91114,6.4036e-05,6.4036e-05,6.4036e-05
20,568.766,0.27455,0.41477,0.12543,0.55932,0.54735,0.54188,0.27954,0.70247,0.87879,0.96697,6.2038e-05,6.2038e-05,6.2038e-05
21,597.278,0.27489,0.42847,0.12312,0.69328,0.47654,0.52066,0.26155,0.68578,0.99478,0.91962,6.004e-05,6.004e-05,6.004e-05
22,625.518,0.272,0.40401,0.12378,0.61284,0.41739,0.45415,0.24922,0.71893,0.84896,0.97915,5.8042e-05,5.8042e-05,5.8042e-05
23,653.457,0.25124,0.37062,0.10304,0.58992,0.4809,0.46848,0.26779,0.68158,0.76084,0.91057,5.6044e-05,5.6044e-05,5.6044e-05
24,681.47,0.26736,0.40167,0.12058,0.66299,0.48014,0.49532,0.28096,0.68068,0.73431,0.89808,5.4046e-05,5.4046e-05,5.4046e-05
25,709.713,0.26782,0.38586,0.11965,0.60352,0.46227,0.50713,0.28471,0.6844,0.82902,0.93088,5.2048e-05,5.2048e-05,5.2048e-05
26,737.877,0.25601,0.38677,0.10972,0.71334,0.39566,0.46085,0.24697,0.703,0.86165,0.99025,5.005e-05,5.005e-05,5.005e-05
27,765.845,0.25602,0.39931,0.11408,0.59141,0.4234,0.44687,0.24261,0.69048,0.83617,0.95677,4.8052e-05,4.8052e-05,4.8052e-05
28,793.676,0.24691,0.36503,0.10235,0.60438,0.51747,0.49395,0.26922,0.72136,0.87752,1.09418,4.6054e-05,4.6054e-05,4.6054e-05
29,821.593,0.25034,0.38763,0.10829,0.59218,0.50042,0.46306,0.24889,0.71869,0.85986,0.98313,4.4056e-05,4.4056e-05,4.4056e-05
30,849.709,0.25417,0.37229,0.10914,0.64722,0.50237,0.50878,0.26665,0.70869,0.8068,0.97698,4.2058e-05,4.2058e-05,4.2058e-05
31,877.86,0.25497,0.37559,0.10643,0.62466,0.48706,0.50293,0.26837,0.6812,0.81138,0.94926,4.006e-05,4.006e-05,4.006e-05
32,905.804,0.24486,0.36912,0.10772,0.64071,0.44981,0.4699,0.24949,0.68351,0.82644,0.93705,3.8062e-05,3.8062e-05,3.8062e-05
33,933.854,0.26122,0.38231,0.11198,0.62907,0.51077,0.49859,0.26302,0.67497,0.82589,0.92103,3.6064e-05,3.6064e-05,3.6064e-05
34,961.826,0.23674,0.36099,0.10255,0.61705,0.49868,0.49796,0.2713,0.66476,0.82191,0.91107,3.4066e-05,3.4066e-05,3.4066e-05
35,989.934,0.24109,0.36828,0.10513,0.5596,0.50582,0.47935,0.28016,0.67436,0.79431,0.92324,3.2068e-05,3.2068e-05,3.2068e-05
36,1018.14,0.2471,0.35699,0.10327,0.72878,0.43073,0.47134,0.26754,0.66556,0.79842,0.89344,3.007e-05,3.007e-05,3.007e-05
37,1046.32,0.22874,0.3589,0.09616,0.56852,0.4484,0.47557,0.25804,0.69556,0.77567,0.93255,2.8072e-05,2.8072e-05,2.8072e-05
38,1074.69,0.23523,0.3582,0.10392,0.58627,0.4424,0.4673,0.25917,0.67699,0.83054,0.91892,2.6074e-05,2.6074e-05,2.6074e-05
39,1102.89,0.23536,0.3533,0.10285,0.66709,0.4523,0.48764,0.26525,0.68352,0.79859,0.92058,2.4076e-05,2.4076e-05,2.4076e-05
40,1130.97,0.22405,0.35343,0.09494,0.6985,0.43835,0.47927,0.27231,0.66443,0.78598,0.91429,2.2078e-05,2.2078e-05,2.2078e-05
41,1150.84,0.29233,0.48932,0.35455,0.62752,0.64053,0.59098,0.32041,0.68499,0.71643,0.89808,2.008e-05,2.008e-05,2.008e-05
42,1167.76,0.27769,0.42807,0.28138,0.60449,0.58794,0.5405,0.30571,0.66816,0.67378,0.91213,1.8082e-05,1.8082e-05,1.8082e-05
43,1184,0.25605,0.47215,0.25974,0.62937,0.6288,0.56635,0.29209,0.67759,0.6396,0.89615,1.6084e-05,1.6084e-05,1.6084e-05
44,1200.43,0.24058,0.42492,0.23014,0.64156,0.59942,0.55442,0.29547,0.62503,0.70627,0.77068,1.4086e-05,1.4086e-05,1.4086e-05
45,1216.72,0.24177,0.43149,0.24014,0.65235,0.63246,0.56523,0.3213,0.62082,0.67057,0.8064,1.2088e-05,1.2088e-05,1.2088e-05
46,1233.42,0.2356,0.43726,0.22263,0.63288,0.62194,0.53359,0.29487,0.6322,0.70839,0.809,1.009e-05,1.009e-05,1.009e-05
47,1249.78,0.23908,0.41645,0.21586,0.63306,0.60551,0.52453,0.29446,0.63259,0.69687,0.81389,8.092e-06,8.092e-06,8.092e-06
48,1265.97,0.24531,0.43038,0.22915,0.64007,0.6214,0.55864,0.30789,0.63843,0.68013,0.81342,6.094e-06,6.094e-06,6.094e-06
49,1282.21,0.22976,0.38772,0.19537,0.58659,0.63731,0.53506,0.29067,0.64944,0.70905,0.83794,4.096e-06,4.096e-06,4.096e-06
