epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3411,1.7593,4.15146,1.46515,4e-05,0.03922,7e-05,1e-05,1.80191,1.18136,2.60164,1.96e-05,1.96e-05,0.0804196
2,52.0317,1.09327,0.8535,0.61394,0.00016,0.11565,6e-05,2e-05,1.3349,1.13114,2.51853,3.88088e-05,3.88088e-05,0.0604388
3,73.8158,0.96276,1.00213,0.54696,0.00279,0.34437,0.00634,0.00258,0.7157,2.23821,1.19895,5.72184e-05,5.72184e-05,0.0404572
4,95.6009,0.79708,1.20047,0.41284,0.00227,0.6042,0.01039,0.00403,0.63113,2.28434,0.9042,7.48288e-05,7.48288e-05,0.0204748
5,117.336,0.63694,1.37843,0.33349,0.01055,0.4612,0.01383,0.00607,0.5452,2.49257,0.69336,9.164e-05,9.164e-05,0.00049164
6,139.042,0.57201,1.46702,0.27451,0.00254,0.62867,0.02634,0.01205,0.51542,2.78612,0.66961,9.001e-05,9.001e-05,9.001e-05
7,160.572,0.54604,1.51305,0.25648,0.3405,0.45595,0.04641,0.01763,0.55096,3.00282,0.74832,8.8012e-05,8.8012e-05,8.8012e-05
8,182.349,0.49895,1.58357,0.24585,0.33952,0.55119,0.05564,0.01934,0.51415,2.71439,0.69532,8.6014e-05,8.6014e-05,8.6014e-05
9,203.987,0.52816,1.46571,0.25595,0.67244,0.29268,0.07564,0.03144,0.55127,2.49023,0.7523,8.4016e-05,8.4016e-05,8.4016e-05
10,225.598,0.4649,1.50026,0.22581,0.68019,0.21951,0.05787,0.02933,0.50009,2.57756,0.7089,8.2018e-05,8.2018e-05,8.2018e-05
11,246.782,0.44735,1.49842,0.20639,0.68477,0.1748,0.06774,0.03047,0.5104,2.72629,0.75806,8.002e-05,8.002e-05,8.002e-05
12,267.965,0.43832,1.48232,0.20304,0.34894,0.35806,0.05949,0.0288,0.4835,2.3679,0.68282,7.8022e-05,7.8022e-05,7.8022e-05
13,289.125,0.42089,1.45421,0.18952,0.35739,0.30919,0.06293,0.02674,0.50094,2.16605,0.70937,7.6024e-05,7.6024e-05,7.6024e-05
14,310.252,0.41751,1.42883,0.19163,0.35869,0.25087,0.04743,0.02523,0.4923,2.18543,0.6598,7.4026e-05,7.4026e-05,7.4026e-05
15,331.402,0.39878,1.4153,0.17555,0.3594,0.21022,0.04701,0.02206,0.50058,2.01462,0.66128,7.2028e-05,7.2028e-05,7.2028e-05
16,352.66,0.4192,1.37392,0.20035,0.37556,0.15738,0.0484,0.02036,0.50124,2.06799,0.69797,7.003e-05,7.003e-05,7.003e-05
17,373.891,0.38679,1.3916,0.17616,0.36348,0.27667,0.04809,0.02256,0.52399,1.9271,0.73947,6.8032e-05,6.8032e-05,6.8032e-05
18,395.119,0.39051,1.35354,0.17758,0.38035,0.23727,0.0617,0.03389,0.50482,1.82737,0.66843,6.6034e-05,6.6034e-05,6.6034e-05
19,416.723,0.36471,1.373,0.15999,0.38183,0.21968,0.05752,0.03228,0.53898,1.76114,0.73742,6.4036e-05,6.4036e-05,6.4036e-05
20,437.837,0.35356,1.40313,0.15875,0.39558,0.1709,0.06721,0.03902,0.48993,1.88401,0.6943,6.2038e-05,6.2038e-05,6.2038e-05
21,459.503,0.33006,1.41241,0.14743,0.39184,0.13564,0.05678,0.02987,0.50807,1.79017,0.72143,6.004e-05,6.004e-05,6.004e-05
22,480.875,0.34581,1.38318,0.15862,0.37996,0.16949,0.05771,0.03284,0.48063,1.85382,0.67753,5.8042e-05,5.8042e-05,5.8042e-05
23,502.124,0.331,1.39576,0.14381,0.37531,0.13697,0.05917,0.03459,0.51139,1.85699,0.71132,5.6044e-05,5.6044e-05,5.6044e-05
24,523.449,0.3442,1.37702,0.1613,0.38193,0.13697,0.06624,0.03569,0.48737,1.8116,0.68243,5.4046e-05,5.4046e-05,5.4046e-05
25,544.633,0.33169,1.37516,0.14201,0.392,0.13431,0.07308,0.03838,0.48777,1.82096,0.68251,5.2048e-05,5.2048e-05,5.2048e-05
26,565.685,0.33191,1.39136,0.14744,0.38387,0.13016,0.06897,0.03972,0.46526,1.78382,0.66102,5.005e-05,5.005e-05,5.005e-05
27,587.081,0.31252,1.38688,0.13639,0.38445,0.1451,0.07581,0.04205,0.47389,1.78242,0.64926,4.8052e-05,4.8052e-05,4.8052e-05
28,608.718,0.322,1.38321,0.13655,0.388,0.10445,0.06546,0.0372,0.48491,1.84163,0.68712,4.6054e-05,4.6054e-05,4.6054e-05
29,629.91,0.3181,1.39343,0.14857,0.38166,0.13697,0.05764,0.03285,0.4882,1.79362,0.68308,4.4056e-05,4.4056e-05,4.4056e-05
30,651.04,0.31189,1.3892,0.14291,0.39365,0.1329,0.06757,0.03739,0.47594,1.81812,0.66301,4.2058e-05,4.2058e-05,4.2058e-05
31,672.229,0.29051,1.39732,0.11843,0.39524,0.13564,0.06872,0.04001,0.4784,1.75306,0.65845,4.006e-05,4.006e-05,4.006e-05
32,693.515,0.29852,1.3775,0.1326,0.38368,0.09092,0.06501,0.03445,0.4908,1.80555,0.66695,3.8062e-05,3.8062e-05,3.8062e-05
33,714.793,0.28906,1.43587,0.12916,0.37777,0.13564,0.07037,0.0371,0.50679,1.77,0.71559,3.6064e-05,3.6064e-05,3.6064e-05
34,736.062,0.29531,1.38655,0.12372,0.4029,0.13157,0.07043,0.03499,0.52841,1.69373,0.71403,3.4066e-05,3.4066e-05,3.4066e-05
35,757.322,0.28053,1.38185,0.11568,0.38924,0.14783,0.06313,0.0379,0.54277,1.72662,0.74781,3.2068e-05,3.2068e-05,3.2068e-05
36,778.602,0.29767,1.3917,0.13242,0.39119,0.12618,0.06761,0.03934,0.53087,1.6965,0.72738,3.007e-05,3.007e-05,3.007e-05
37,799.738,0.28545,1.3878,0.11896,0.39059,0.14518,0.06775,0.03799,0.5591,1.64149,0.76213,2.8072e-05,2.8072e-05,2.8072e-05
38,820.93,0.29162,1.38046,0.12928,0.38575,0.11664,0.07193,0.03884,0.5621,1.63229,0.7959,2.6074e-05,2.6074e-05,2.6074e-05
39,842.185,0.28712,1.38561,0.13082,0.38508,0.12751,0.06847,0.0346,0.56818,1.63322,0.80593,2.4076e-05,2.4076e-05,2.4076e-05
40,863.449,0.28321,1.39455,0.12717,0.38628,0.11125,0.06719,0.03649,0.56336,1.68812,0.78146,2.2078e-05,2.2078e-05,2.2078e-05
41,879.814,0.41706,1.81677,0.56291,0.37633,0.11266,0.04777,0.02619,0.50304,1.56824,0.64705,2.008e-05,2.008e-05,2.008e-05
42,892.36,0.32632,1.60773,0.38767,0.02629,0.186,0.04692,0.02045,0.51275,1.46217,0.58924,1.8082e-05,1.8082e-05,1.8082e-05
43,904.944,0.30761,1.6087,0.31563,0.35788,0.20085,0.03992,0.0181,0.50628,1.43601,0.55055,1.6084e-05,1.6084e-05,1.6084e-05
44,917.553,0.2912,1.64648,0.28073,0.38108,0.13431,0.06065,0.02667,0.41385,1.52445,0.4443,1.4086e-05,1.4086e-05,1.4086e-05
45,930.095,0.26573,1.71553,0.25703,0.38227,0.15198,0.06875,0.03203,0.37316,1.58607,0.3859,1.2088e-05,1.2088e-05,1.2088e-05
46,942.647,0.2398,1.75284,0.24288,0.38668,0.11672,0.07485,0.03655,0.35281,1.63166,0.35848,1.009e-05,1.009e-05,1.009e-05
