epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6496,1.17355,0.78246,0.63475,9e-05,0.05442,0.00026,7e-05,1.72679,0.30811,3.72906,1.9697e-05,1.9697e-05,0.0803227
2,59.0134,0.69536,1.13552,0.31761,0.01945,0.42386,0.03176,0.01384,0.8643,1.31938,1.28754,3.89038e-05,3.89038e-05,0.0603419
3,87.159,0.4554,1.33017,0.21667,0.37232,0.18724,0.04746,0.02361,0.61527,1.56729,0.82251,5.73115e-05,5.73115e-05,0.0403603
4,114.777,0.41106,1.32568,0.18578,0.36215,0.21976,0.05281,0.02722,0.54731,2.08297,0.72529,7.49199e-05,7.49199e-05,0.020378
5,142.09,0.36277,1.3563,0.1697,0.36206,0.32421,0.06804,0.03707,0.54111,2.15374,0.73198,9.17292e-05,9.17292e-05,0.000394759
6,169.663,0.36937,1.31871,0.17752,0.36753,0.19678,0.05661,0.03296,0.5753,2.37201,0.81945,9.001e-05,9.001e-05,9.001e-05
7,196.935,0.35787,1.33113,0.16865,0.37584,0.26589,0.08575,0.04805,0.5695,2.39226,0.83405,8.8012e-05,8.8012e-05,8.8012e-05
8,225.211,0.34849,1.30089,0.15777,0.3928,0.18442,0.09407,0.05111,0.57255,1.9771,0.83357,8.6014e-05,8.6014e-05,8.6014e-05
9,253.277,0.34244,1.28511,0.15788,0.41141,0.13697,0.09063,0.04954,0.54572,2.31559,0.76071,8.4016e-05,8.4016e-05,8.4016e-05
10,280.696,0.35461,1.28274,0.15902,0.40036,0.17488,0.09009,0.05004,0.52017,2.13821,0.67613,8.2018e-05,8.2018e-05,8.2018e-05
11,308.387,0.36223,1.2273,0.16538,0.4056,0.16833,0.07611,0.04667,0.54143,2.06762,0.76042,8.002e-05,8.002e-05,8.002e-05
12,335.481,0.37881,1.2764,0.16463,0.41016,0.20935,0.07191,0.04052,0.5436,1.92213,0.73774,7.8022e-05,7.8022e-05,7.8022e-05
13,362.666,0.34841,1.23579,0.15137,0.41905,0.14385,0.09175,0.05039,0.5558,1.86137,0.73159,7.6024e-05,7.6024e-05,7.6024e-05
14,389.348,0.35332,1.29639,0.15628,0.39682,0.22109,0.07773,0.04217,0.5234,2.52387,0.86877,7.4026e-05,7.4026e-05,7.4026e-05
15,415.909,0.34105,1.26143,0.16015,0.40595,0.17762,0.08204,0.04649,0.52305,1.97481,0.7279,7.2028e-05,7.2028e-05,7.2028e-05
16,443.649,0.36535,1.21904,0.15336,0.38599,0.16409,0.06567,0.03688,0.52825,2.2849,0.77998,7.003e-05,7.003e-05,7.003e-05
17,470.972,0.33381,1.33062,0.16534,0.40359,0.16277,0.07932,0.04724,0.54578,1.76798,0.83159,6.8032e-05,6.8032e-05,6.8032e-05
18,498.006,0.33273,1.23219,0.15243,0.39562,0.14916,0.07718,0.04548,0.57682,2.0532,0.72237,6.6034e-05,6.6034e-05,6.6034e-05
19,525.641,0.32947,1.35439,0.14646,0.39176,0.17355,0.07692,0.04453,0.49536,2.2268,0.67639,6.4036e-05,6.4036e-05,6.4036e-05
20,553.054,0.33272,1.27296,0.15179,0.39679,0.1329,0.09296,0.0519,0.52487,1.72761,0.7307,6.2038e-05,6.2038e-05,6.2038e-05
21,580.373,0.33101,1.22683,0.14692,0.37567,0.15323,0.063,0.0329,0.57147,2.56381,0.81332,6.004e-05,6.004e-05,6.004e-05
22,607.549,0.33443,1.38122,0.1534,0.36488,0.30795,0.06518,0.04212,0.5158,2.07415,0.69365,5.8042e-05,5.8042e-05,5.8042e-05
23,634.688,0.29452,1.22457,0.1291,0.04501,0.30819,0.05805,0.03581,0.55497,1.7827,0.7331,5.6044e-05,5.6044e-05,5.6044e-05
24,661.788,0.32318,1.26736,0.13966,0.38155,0.16772,0.05844,0.03222,0.50228,2.63088,0.68919,5.4046e-05,5.4046e-05,5.4046e-05
25,689.168,0.31728,1.3779,0.13084,0.36852,0.29301,0.07809,0.04572,0.51377,1.92986,0.67061,5.2048e-05,5.2048e-05,5.2048e-05
26,716.303,0.31795,1.20125,0.15331,0.38374,0.23727,0.08082,0.04476,0.54514,1.81795,0.74214,5.005e-05,5.005e-05,5.005e-05
27,743.357,0.31954,1.23789,0.14526,0.37926,0.17978,0.06956,0.04414,0.50837,2.43725,0.74358,4.8052e-05,4.8052e-05,4.8052e-05
