epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,125.967,1.55871,1.32518,0.01999,0.67177,0.537,0.56307,0.23484,1.92354,1.68163,0.04281,0.00129705,0.00129705,0.00129705
43,128.364,1.54109,1.33621,0.0193,0.55936,0.57381,0.55827,0.27477,1.77219,1.5355,0.03746,0.0012921,0.0012921,0.0012921
44,131.02,1.53813,1.36424,0.01923,0.51559,0.58145,0.54902,0.24284,1.92425,1.55576,0.03791,0.00128715,0.00128715,0.00128715
45,133.543,1.60462,1.35268,0.02036,0.66504,0.49855,0.5333,0.24434,1.90266,1.64803,0.0388,0.0012822,0.0012822,0.0012822
46,136.02,1.5753,1.36288,0.01971,0.63225,0.55001,0.58859,0.27778,1.75802,1.42797,0.03793,0.00127725,0.00127725,0.00127725
47,138.622,1.55654,1.30224,0.02016,0.69542,0.54571,0.59328,0.24935,1.93222,1.54643,0.04173,0.0012723,0.0012723,0.0012723
48,141.157,1.53554,1.32509,0.02037,0.61008,0.52328,0.52801,0.22618,1.96481,1.6099,0.04366,0.00126735,0.00126735,0.00126735
49,143.843,1.55258,1.23053,0.02016,0.51584,0.51853,0.50103,0.22731,1.94153,1.55948,0.04353,0.0012624,0.0012624,0.0012624
50,146.631,1.53253,1.31467,0.02025,0.63137,0.58263,0.58135,0.24925,1.90039,1.63912,0.04155,0.00125745,0.00125745,0.00125745
51,149.207,1.51704,1.26867,0.01876,0.5111,0.59422,0.52013,0.23867,1.78603,1.52086,0.03553,0.0012525,0.0012525,0.0012525
52,151.674,1.48268,1.20662,0.01937,0.66499,0.48764,0.5572,0.22986,1.93586,1.46738,0.04234,0.00124755,0.00124755,0.00124755
53,154.123,1.43573,1.17442,0.01798,0.69035,0.54515,0.61766,0.28904,1.68584,1.35653,0.03589,0.0012426,0.0012426,0.0012426
54,156.675,1.51632,1.32681,0.02016,0.58752,0.59477,0.58966,0.30322,1.71402,1.40881,0.03614,0.00123765,0.00123765,0.00123765
55,159.443,1.52519,1.2662,0.01906,0.6396,0.61319,0.61166,0.28893,1.81916,1.31157,0.03898,0.0012327,0.0012327,0.0012327
56,161.905,1.51027,1.31219,0.01918,0.56991,0.61438,0.55234,0.26506,1.86756,1.44354,0.03963,0.00122775,0.00122775,0.00122775
57,164.383,1.45632,1.26971,0.01823,0.65394,0.59197,0.61739,0.28068,1.80908,1.47413,0.03862,0.0012228,0.0012228,0.0012228
58,166.944,1.50574,1.27458,0.01909,0.66065,0.63023,0.59576,0.28279,1.81635,1.37497,0.03904,0.00121785,0.00121785,0.00121785
59,169.508,1.41794,1.14024,0.01686,0.57198,0.63194,0.58005,0.26491,1.78727,1.44435,0.03633,0.0012129,0.0012129,0.0012129
