epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8799,1.94918,4.0546,1.72666,0.00017,0.07317,0.00013,4e-05,1.5509,0.65616,2.91075,1.96e-05,1.96e-05,0.0804196
2,52.547,1.30658,0.65692,0.86797,0.00104,0.27609,0.00121,0.0003,1.11965,1.3638,1.58933,3.88088e-05,3.88088e-05,0.0604388
3,73.5865,1.12099,0.85715,0.71021,0.00406,0.2848,0.00395,0.00129,0.80374,2.03518,1.00717,5.72184e-05,5.72184e-05,0.0404572
4,94.7918,1.04844,0.94492,0.6507,0.00178,0.45462,0.00624,0.00213,0.81106,1.91071,1.21109,7.48288e-05,7.48288e-05,0.0204748
5,116.044,0.85207,1.15688,0.51088,0.00735,0.44301,0.00927,0.00311,0.6786,2.24532,0.92367,9.164e-05,9.164e-05,0.00049164
6,137.4,0.74718,1.28186,0.42202,0.00235,0.56073,0.02296,0.00892,0.68606,2.44611,1.01978,9.001e-05,9.001e-05,9.001e-05
7,159.068,0.72031,1.32832,0.38579,0.00277,0.57018,0.04315,0.01485,0.61215,2.72546,0.93346,8.8012e-05,8.8012e-05,8.8012e-05
8,180.548,0.65171,1.42267,0.36376,0.3371,0.56214,0.03619,0.01592,0.61937,2.55606,0.85414,8.6014e-05,8.6014e-05,8.6014e-05
9,202.126,0.67213,1.35306,0.35833,0.35188,0.3267,0.03902,0.01755,0.54627,2.53245,0.8043,8.4016e-05,8.4016e-05,8.4016e-05
10,223.597,0.60206,1.42462,0.32228,0.67251,0.26016,0.05388,0.02307,0.58471,2.51768,0.91056,8.2018e-05,8.2018e-05,8.2018e-05
11,244.924,0.60716,1.42318,0.33138,0.67415,0.21138,0.04074,0.02275,0.55402,2.61105,0.80219,8.002e-05,8.002e-05,8.002e-05
12,265.925,0.58457,1.4303,0.31585,0.67543,0.15041,0.03163,0.01859,0.53204,2.50559,0.71847,7.8022e-05,7.8022e-05,7.8022e-05
13,286.951,0.55406,1.45399,0.30095,0.35113,0.2142,0.03397,0.01677,0.49205,2.49784,0.7473,7.6024e-05,7.6024e-05,7.6024e-05
14,308.376,0.57715,1.43964,0.32081,0.5338,0.18566,0.04263,0.02031,0.52253,2.35963,0.77923,7.4026e-05,7.4026e-05,7.4026e-05
15,329.158,0.55378,1.42187,0.30778,0.34576,0.23868,0.05704,0.02496,0.54474,2.28526,0.78209,7.2028e-05,7.2028e-05,7.2028e-05
16,350.69,0.58081,1.38444,0.33556,0.34678,0.22242,0.05448,0.03207,0.51614,2.45612,0.69854,7.003e-05,7.003e-05,7.003e-05
17,372.059,0.54649,1.43017,0.30891,0.34718,0.19537,0.04827,0.02628,0.52382,2.50134,0.81602,6.8032e-05,6.8032e-05,6.8032e-05
18,393.083,0.53365,1.41763,0.29928,0.34755,0.25236,0.03346,0.01533,0.51391,2.39484,0.75073,6.6034e-05,6.6034e-05,6.6034e-05
19,413.831,0.54403,1.4098,0.31163,0.35155,0.25104,0.0331,0.01946,0.45076,2.31114,0.6162,6.4036e-05,6.4036e-05,6.4036e-05
20,434.686,0.5248,1.42909,0.30375,0.35036,0.167,0.04005,0.01874,0.49547,2.48291,0.70427,6.2038e-05,6.2038e-05,6.2038e-05
21,455.811,0.47746,1.47589,0.29077,0.352,0.12087,0.03713,0.01411,0.47802,2.42588,0.69403,6.004e-05,6.004e-05,6.004e-05
22,476.441,0.53434,1.41672,0.3314,0.3528,0.17787,0.02437,0.01104,0.49613,2.38223,0.6994,5.8042e-05,5.8042e-05,5.8042e-05
23,497.275,0.50308,1.44813,0.29612,0.3545,0.1222,0.0235,0.01123,0.51603,2.47789,0.68045,5.6044e-05,5.6044e-05,5.6044e-05
24,517.96,0.53606,1.3941,0.35723,0.01926,0.1417,0.02392,0.01113,0.49676,2.5794,0.68055,5.4046e-05,5.4046e-05,5.4046e-05
25,539.206,0.50521,1.44086,0.31053,0.0233,0.14983,0.03095,0.01176,0.47925,2.61537,0.69273,5.2048e-05,5.2048e-05,5.2048e-05
26,560.427,0.53704,1.42261,0.34747,0.02554,0.14516,0.01817,0.00899,0.4802,2.49392,0.68367,5.005e-05,5.005e-05,5.005e-05
27,581.25,0.48945,1.4558,0.29263,0.0191,0.15876,0.01752,0.00842,0.50947,2.39121,0.69209,4.8052e-05,4.8052e-05,4.8052e-05
28,601.978,0.5147,1.42544,0.32803,0.35483,0.11,0.01894,0.00898,0.51597,2.53774,0.7269,4.6054e-05,4.6054e-05,4.6054e-05
29,623.183,0.53903,1.42055,0.36937,0.02054,0.18278,0.02516,0.00903,0.53826,2.56636,0.73231,4.4056e-05,4.4056e-05,4.4056e-05
30,644.4,0.52149,1.44918,0.36435,0.02593,0.17085,0.03393,0.01177,0.49581,2.80754,0.73456,4.2058e-05,4.2058e-05,4.2058e-05
31,665.605,0.49555,1.44756,0.3176,0.01955,0.21963,0.03238,0.01105,0.48156,2.6173,0.68276,4.006e-05,4.006e-05,4.006e-05
32,686.321,0.48789,1.4396,0.31996,0.01531,0.23225,0.02413,0.00971,0.48411,2.6808,0.6777,3.8062e-05,3.8062e-05,3.8062e-05
33,706.994,0.49724,1.47524,0.3381,0.01662,0.18304,0.02544,0.00908,0.50871,2.60653,0.699,3.6064e-05,3.6064e-05,3.6064e-05
34,727.948,0.5242,1.42405,0.35243,0.02069,0.1531,0.01727,0.00777,0.51171,2.72248,0.71525,3.4066e-05,3.4066e-05,3.4066e-05
35,748.719,0.49768,1.45451,0.31558,0.02256,0.15009,0.03143,0.01095,0.52522,3.0476,0.69313,3.2068e-05,3.2068e-05,3.2068e-05
36,769.442,0.51587,1.45132,0.3467,0.02341,0.13974,0.02205,0.00927,0.53574,2.72701,0.68178,3.007e-05,3.007e-05,3.007e-05
37,790.213,0.45818,1.47011,0.28628,0.01983,0.1819,0.03118,0.0126,0.52092,2.78583,0.68556,2.8072e-05,2.8072e-05,2.8072e-05
38,811.339,0.46953,1.50031,0.31631,0.019,0.17369,0.02394,0.01031,0.52901,2.92594,0.69445,2.6074e-05,2.6074e-05,2.6074e-05
39,832.187,0.50347,1.44567,0.33928,0.024,0.15717,0.02354,0.01047,0.49352,2.79706,0.6766,2.4076e-05,2.4076e-05,2.4076e-05
40,853.297,0.47888,1.46035,0.31882,0.01761,0.11574,0.02199,0.01044,0.50613,2.75912,0.67922,2.2078e-05,2.2078e-05,2.2078e-05
41,869.582,0.41473,2.24206,0.52345,0.34956,0.0706,0.01502,0.00705,0.48453,2.15642,0.61102,2.008e-05,2.008e-05,2.008e-05
42,881.848,0.35255,1.95738,0.37152,0.34521,0.1329,0.02147,0.00817,0.49518,1.79438,0.54945,1.8082e-05,1.8082e-05,1.8082e-05
43,894.236,0.36081,1.86124,0.32814,0.34435,0.17081,0.01787,0.00698,0.51202,1.69582,0.49729,1.6084e-05,1.6084e-05,1.6084e-05
44,906.524,0.32271,1.88077,0.26851,0.3497,0.19662,0.02053,0.00862,0.45217,1.74909,0.45039,1.4086e-05,1.4086e-05,1.4086e-05
45,918.967,0.31248,1.90214,0.28511,0.35492,0.08545,0.0264,0.01048,0.39324,1.86343,0.39607,1.2088e-05,1.2088e-05,1.2088e-05
46,931.538,0.26542,1.98226,0.23111,0.35645,0.10312,0.03827,0.01516,0.35422,1.93379,0.35671,1.009e-05,1.009e-05,1.009e-05
47,944.012,0.29605,1.98714,0.27582,0.35318,0.12212,0.02932,0.01203,0.37627,1.89042,0.41764,8.092e-06,8.092e-06,8.092e-06
48,956.597,0.27388,1.98339,0.20979,0.35105,0.15605,0.04362,0.01589,0.38707,1.8538,0.42176,6.094e-06,6.094e-06,6.094e-06
49,969.08,0.28512,1.95482,0.22637,0.35231,0.14518,0.04013,0.01541,0.4008,1.8369,0.42773,4.096e-06,4.096e-06,4.096e-06
50,980.941,0.27425,1.97439,0.26465,0.35229,0.13705,0.04069,0.01557,0.39525,1.84684,0.42954,2.098e-06,2.098e-06,2.098e-06
