epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.88598,1.45551,1.13375,0.02165,0.70067,0.53993,0.55156,0.27196,1.90704,1.90663,0.04583,0.000647619,0.000647619,0.0682667
2,12.2414,1.36966,1.14029,0.019,0.59338,0.59407,0.60874,0.33961,1.63718,1.59637,0.03607,0.00130995,0.00130995,0.0355957
3,17.264,1.32993,1.09281,0.01783,0.68809,0.50671,0.57379,0.34198,1.54023,1.51046,0.03476,0.00196788,0.00196788,0.00292026
4,22.3551,1.24978,1.09873,0.01748,0.645,0.65399,0.60904,0.35467,1.47632,1.48799,0.032,0.0019802,0.0019802,0.0019802
5,27.3668,1.26146,1.08473,0.01689,0.63541,0.59954,0.63176,0.37227,1.4087,1.47092,0.02882,0.0019736,0.0019736,0.0019736
6,32.7873,1.24157,1.09676,0.01598,0.66044,0.52885,0.61734,0.38067,1.45601,1.44651,0.03046,0.001967,0.001967,0.001967
7,37.805,1.27883,1.14127,0.01808,0.65253,0.58663,0.63213,0.36914,1.49379,1.36975,0.03193,0.0019604,0.0019604,0.0019604
8,42.4275,1.26421,1.11616,0.01662,0.58305,0.65541,0.65069,0.37042,1.44152,1.39765,0.02953,0.0019538,0.0019538,0.0019538
9,47.0755,1.27368,1.07408,0.01714,0.70377,0.5534,0.62982,0.35579,1.43082,1.57341,0.02956,0.0019472,0.0019472,0.0019472
10,52.0308,1.23773,1.05369,0.01738,0.60422,0.50686,0.57368,0.33661,1.41411,1.70595,0.03029,0.0019406,0.0019406,0.0019406
11,56.8769,1.24174,1.00232,0.01695,0.69416,0.64594,0.66946,0.40862,1.43176,1.42297,0.03156,0.001934,0.001934,0.001934
12,61.9012,1.25137,1.03539,0.01699,0.67141,0.64973,0.68976,0.40871,1.37927,1.24996,0.02861,0.0019274,0.0019274,0.0019274
13,66.9359,1.24946,1.09127,0.01719,0.64584,0.65399,0.66322,0.36977,1.53622,1.4401,0.0338,0.0019208,0.0019208,0.0019208
14,71.6489,1.2268,1.04363,0.01638,0.66212,0.65517,0.64807,0.40025,1.39885,1.52099,0.02901,0.0019142,0.0019142,0.0019142
15,76.6687,1.26004,1.08676,0.01739,0.73127,0.59733,0.68378,0.42368,1.33851,1.4101,0.02746,0.0019076,0.0019076,0.0019076
16,81.8178,1.24558,1.06258,0.01661,0.7303,0.5884,0.68804,0.42408,1.34589,1.21517,0.02647,0.001901,0.001901,0.001901
17,86.9309,1.21884,1.02055,0.01722,0.74339,0.62754,0.69685,0.42713,1.37887,1.22003,0.02884,0.0018944,0.0018944,0.0018944
18,92.0079,1.27054,1.05358,0.01705,0.68009,0.64873,0.68713,0.39367,1.43169,1.23277,0.02852,0.0018878,0.0018878,0.0018878
19,96.7405,1.23227,1.08702,0.01711,0.72274,0.6316,0.69366,0.37996,1.43911,1.25415,0.02874,0.0018812,0.0018812,0.0018812
20,101.826,1.23538,1.08603,0.01639,0.63291,0.61311,0.5993,0.36125,1.39918,1.59292,0.02885,0.0018746,0.0018746,0.0018746
21,106.511,1.19785,1.04107,0.01612,0.66003,0.64943,0.67314,0.40928,1.36219,1.4478,0.02821,0.001868,0.001868,0.001868
