epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,1144.37,0.34833,1.10976,0.13889,0.08625,0.49146,0.10543,0.05787,0.60715,1.29068,0.58721,8.7346e-05,8.7346e-05,8.7346e-05
40,1172.95,0.369,1.24717,0.13959,0.08074,0.49944,0.08079,0.04282,0.58494,1.89875,0.61516,8.7013e-05,8.7013e-05,8.7013e-05
41,1201.98,0.34933,1.26473,0.1465,0.13112,0.39309,0.14185,0.07615,0.6379,1.24629,0.61921,8.668e-05,8.668e-05,8.668e-05
42,1231.35,0.33951,1.11209,0.1327,0.13072,0.35011,0.14014,0.07959,0.57348,1.31046,0.5458,8.6347e-05,8.6347e-05,8.6347e-05
43,1260.85,0.323,1.22097,0.13117,0.08834,0.4916,0.10376,0.05224,0.59666,1.50746,0.6083,8.6014e-05,8.6014e-05,8.6014e-05
44,1289.76,0.35527,1.10058,0.13807,0.14106,0.47199,0.18705,0.09706,0.59701,1.17834,0.57839,8.5681e-05,8.5681e-05,8.5681e-05
45,1319.26,0.35334,0.94318,0.13756,0.29296,0.39063,0.30017,0.17596,0.5555,1.19361,0.55292,8.5348e-05,8.5348e-05,8.5348e-05
46,1348.2,0.36459,0.84524,0.15506,0.43024,0.40676,0.38308,0.23088,0.56659,1.25407,0.56726,8.5015e-05,8.5015e-05,8.5015e-05
47,1377.45,0.38032,0.67687,0.15549,0.3863,0.49019,0.42527,0.26424,0.58327,1.09564,0.55909,8.4682e-05,8.4682e-05,8.4682e-05
48,1406.73,0.38218,0.59058,0.15727,0.41354,0.48163,0.44504,0.267,0.62038,0.99482,0.64815,8.4349e-05,8.4349e-05,8.4349e-05
49,1436.48,0.39624,0.5478,0.18147,0.43824,0.54202,0.47019,0.25586,0.64777,0.86619,0.6274,8.4016e-05,8.4016e-05,8.4016e-05
50,1465.2,0.40114,0.53212,0.16497,0.45199,0.53811,0.4897,0.28148,0.6376,0.85415,0.63816,8.3683e-05,8.3683e-05,8.3683e-05
51,1494.47,0.37544,0.53451,0.17005,0.45444,0.56349,0.50369,0.28432,0.6133,0.90298,0.6378,8.335e-05,8.335e-05,8.335e-05
52,1523.85,0.39686,0.51711,0.16122,0.54095,0.56443,0.5105,0.28102,0.62412,0.85777,0.63296,8.3017e-05,8.3017e-05,8.3017e-05
53,1552.71,0.39279,0.52601,0.16302,0.4856,0.57236,0.48966,0.27108,0.63375,0.94776,0.58339,8.2684e-05,8.2684e-05,8.2684e-05
54,1581.23,0.38705,0.52026,0.16986,0.52668,0.62278,0.52981,0.30572,0.64615,0.81823,0.63555,8.2351e-05,8.2351e-05,8.2351e-05
55,1610.8,0.36159,0.50098,0.16587,0.54995,0.57782,0.52247,0.30561,0.67077,0.78576,0.67886,8.2018e-05,8.2018e-05,8.2018e-05
56,1639.36,0.39857,0.49218,0.17443,0.56282,0.59757,0.52037,0.30321,0.66636,0.8339,0.66442,8.1685e-05,8.1685e-05,8.1685e-05
57,1668.21,0.36619,0.48978,0.15951,0.57799,0.61064,0.54696,0.31944,0.62998,0.76975,0.67538,8.1352e-05,8.1352e-05,8.1352e-05
58,1697.29,0.34931,0.4873,0.14621,0.53849,0.61198,0.5617,0.33707,0.62979,0.76369,0.6469,8.1019e-05,8.1019e-05,8.1019e-05
59,1726.05,0.34622,0.4676,0.15206,0.61137,0.66866,0.60034,0.33262,0.61016,0.76931,0.62797,8.0686e-05,8.0686e-05,8.0686e-05
60,1755.11,0.34277,0.49668,0.15322,0.55019,0.66516,0.56049,0.32192,0.62264,0.85158,0.63796,8.0353e-05,8.0353e-05,8.0353e-05
61,1783.99,0.36829,0.47272,0.15837,0.56474,0.65865,0.57778,0.33405,0.6522,0.70664,0.72144,8.002e-05,8.002e-05,8.002e-05
62,1812.86,0.33827,0.45784,0.14238,0.56516,0.62658,0.57451,0.33979,0.62222,0.72307,0.64515,7.9687e-05,7.9687e-05,7.9687e-05
63,1842.43,0.3219,0.46596,0.14067,0.58705,0.69141,0.64204,0.347,0.64651,0.80203,0.65343,7.9354e-05,7.9354e-05,7.9354e-05
64,1871.84,0.3902,0.46208,0.15695,0.56056,0.64379,0.56953,0.3391,0.63403,0.74572,0.62195,7.9021e-05,7.9021e-05,7.9021e-05
