epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8389,1.13298,0.83373,0.58373,0.02129,0.08159,0.00897,0.0056,1.4113,1.1132,2.43523,1.96491e-05,1.96491e-05,0.0803705
2,53.9692,0.6429,1.18413,0.27881,0.05352,0.2812,0.04565,0.01599,1.01835,1.16296,1.68369,3.88569e-05,3.88569e-05,0.0603897
3,79.5643,0.56269,1.17615,0.24488,0.13508,0.40963,0.17048,0.05917,0.67012,1.41561,0.81527,5.72655e-05,5.72655e-05,0.0404081
4,106.007,0.55115,1.1861,0.22762,0.15415,0.35256,0.14615,0.05757,0.64484,1.34217,0.74709,7.4875e-05,7.4875e-05,0.0204258
5,129.977,0.4364,1.27292,0.19914,0.17997,0.33708,0.1656,0.08308,0.51044,1.48219,0.58384,9.16852e-05,9.16852e-05,0.000442562
6,155.194,0.41423,1.30419,0.17306,0.16045,0.30084,0.13903,0.07536,0.48641,1.48708,0.58946,9.001e-05,9.001e-05,9.001e-05
7,180.372,0.40503,1.30516,0.18426,0.20717,0.30597,0.15365,0.08272,0.46904,1.49665,0.56688,8.8012e-05,8.8012e-05,8.8012e-05
8,205.706,0.41089,1.29022,0.16783,0.17544,0.30526,0.14142,0.07045,0.46748,1.50751,0.55657,8.6014e-05,8.6014e-05,8.6014e-05
9,229.948,0.38197,1.30861,0.16914,0.12546,0.39705,0.12729,0.0686,0.4294,1.60601,0.48026,8.4016e-05,8.4016e-05,8.4016e-05
10,254.586,0.39284,1.26764,0.17071,0.13825,0.37992,0.13181,0.07317,0.43962,1.59783,0.48951,8.2018e-05,8.2018e-05,8.2018e-05
11,278.11,0.3967,1.29815,0.16331,0.10958,0.36148,0.12916,0.07441,0.4501,1.5066,0.50316,8.002e-05,8.002e-05,8.002e-05
12,302.94,0.36918,1.31223,0.15493,0.11171,0.37596,0.14151,0.08106,0.43545,1.49383,0.49352,7.8022e-05,7.8022e-05,7.8022e-05
13,327.006,0.37985,1.28689,0.15557,0.09795,0.40601,0.13171,0.0777,0.42736,1.54514,0.45194,7.6024e-05,7.6024e-05,7.6024e-05
14,351.544,0.36528,1.30875,0.14174,0.11422,0.35161,0.11782,0.0628,0.41532,1.54249,0.44581,7.4026e-05,7.4026e-05,7.4026e-05
15,376.493,0.36449,1.26193,0.14652,0.09086,0.33593,0.11543,0.06302,0.40551,1.58535,0.43623,7.2028e-05,7.2028e-05,7.2028e-05
16,401.931,0.34918,1.34551,0.13472,0.08623,0.37479,0.11134,0.0664,0.38379,1.67619,0.39436,7.003e-05,7.003e-05,7.003e-05
17,426.049,0.34714,1.2641,0.14484,0.0976,0.35485,0.11958,0.07425,0.36642,1.60226,0.38062,6.8032e-05,6.8032e-05,6.8032e-05
18,450.196,0.34335,1.34972,0.14249,0.08159,0.35606,0.106,0.06086,0.39057,1.62038,0.39674,6.6034e-05,6.6034e-05,6.6034e-05
19,474.393,0.32796,1.29568,0.13678,0.09961,0.31042,0.11097,0.06149,0.36415,1.64406,0.3695,6.4036e-05,6.4036e-05,6.4036e-05
20,499.284,0.34446,1.36251,0.14588,0.08635,0.35803,0.10131,0.06115,0.38037,1.75348,0.37059,6.2038e-05,6.2038e-05,6.2038e-05
21,523.426,0.34076,1.28858,0.14422,0.1003,0.33587,0.11853,0.07544,0.36292,1.62607,0.36289,6.004e-05,6.004e-05,6.004e-05
22,547.349,0.29781,1.34316,0.13067,0.07085,0.44951,0.10727,0.06668,0.35745,1.80683,0.36124,5.8042e-05,5.8042e-05,5.8042e-05
23,570.792,0.32589,1.31507,0.12848,0.09649,0.35509,0.10514,0.05897,0.37041,1.65544,0.37431,5.6044e-05,5.6044e-05,5.6044e-05
24,594.491,0.31316,1.32252,0.12582,0.0908,0.28708,0.09927,0.05924,0.37267,1.62692,0.3536,5.4046e-05,5.4046e-05,5.4046e-05
25,618.233,0.32854,1.30798,0.13575,0.09915,0.31613,0.11028,0.06878,0.35575,1.66066,0.35725,5.2048e-05,5.2048e-05,5.2048e-05
26,643.184,0.31547,1.32327,0.13409,0.07756,0.39124,0.10236,0.06291,0.35858,1.6511,0.3404,5.005e-05,5.005e-05,5.005e-05
27,667.232,0.31592,1.30122,0.12809,0.08238,0.31122,0.10046,0.06085,0.38344,1.62401,0.36995,4.8052e-05,4.8052e-05,4.8052e-05
28,691.334,0.32032,1.30773,0.12,0.09982,0.24937,0.09645,0.05415,0.41758,1.64543,0.38421,4.6054e-05,4.6054e-05,4.6054e-05
29,715.462,0.30778,1.30141,0.13492,0.08526,0.31935,0.09677,0.0599,0.36344,1.74314,0.34611,4.4056e-05,4.4056e-05,4.4056e-05
30,739.688,0.31006,1.38118,0.12613,0.12119,0.27562,0.09365,0.05806,0.378,1.75198,0.3601,4.2058e-05,4.2058e-05,4.2058e-05
31,763.79,0.30757,1.29796,0.12613,0.09124,0.28094,0.09608,0.06104,0.34057,1.63509,0.34279,4.006e-05,4.006e-05,4.006e-05
32,788.202,0.29698,1.30184,0.11834,0.08583,0.26347,0.09541,0.05535,0.39407,1.76379,0.36422,3.8062e-05,3.8062e-05,3.8062e-05
33,812.306,0.30172,1.34103,0.11734,0.09111,0.28775,0.08902,0.05471,0.38453,1.73055,0.36966,3.6064e-05,3.6064e-05,3.6064e-05
34,837.983,0.2963,1.29437,0.12133,0.09622,0.2789,0.10072,0.06154,0.36269,1.68373,0.34756,3.4066e-05,3.4066e-05,3.4066e-05
35,862.705,0.29168,1.33104,0.11526,0.09535,0.30343,0.09913,0.0614,0.36524,1.69832,0.35724,3.2068e-05,3.2068e-05,3.2068e-05
36,888.345,0.27806,1.32534,0.11292,0.11279,0.24179,0.0938,0.05784,0.36683,1.70403,0.34792,3.007e-05,3.007e-05,3.007e-05
37,913.842,0.31127,1.29308,0.12168,0.11058,0.24585,0.09736,0.05756,0.37327,1.70684,0.35221,2.8072e-05,2.8072e-05,2.8072e-05
38,938.291,0.28317,1.29477,0.10595,0.10776,0.29424,0.10538,0.05999,0.37644,1.71049,0.37119,2.6074e-05,2.6074e-05,2.6074e-05
39,963.429,0.2803,1.2912,0.10359,0.09832,0.33247,0.10315,0.06213,0.3751,1.6879,0.37553,2.4076e-05,2.4076e-05,2.4076e-05
40,988.87,0.29169,1.28868,0.10928,0.11428,0.32429,0.10831,0.06651,0.36073,1.68927,0.35737,2.2078e-05,2.2078e-05,2.2078e-05
41,1007.54,0.31277,1.62656,0.3373,0.10252,0.30241,0.09519,0.05201,0.40119,1.49149,0.35285,2.008e-05,2.008e-05,2.008e-05
42,1022.33,0.27004,1.52049,0.25064,0.10732,0.20687,0.0842,0.04525,0.43571,1.39357,0.37781,1.8082e-05,1.8082e-05,1.8082e-05
43,1037.15,0.26084,1.53349,0.24346,0.09509,0.21332,0.09632,0.05759,0.37647,1.5212,0.32364,1.6084e-05,1.6084e-05,1.6084e-05
44,1051.47,0.25066,1.63047,0.2204,0.10016,0.21579,0.09255,0.05108,0.41213,1.55648,0.36629,1.4086e-05,1.4086e-05,1.4086e-05
45,1066.55,0.25517,1.63697,0.20987,0.08577,0.18579,0.08795,0.04909,0.45813,1.47997,0.40817,1.2088e-05,1.2088e-05,1.2088e-05
46,1081.62,0.23332,1.58645,0.19511,0.09622,0.19177,0.09293,0.05032,0.4248,1.4474,0.36953,1.009e-05,1.009e-05,1.009e-05
47,1096,0.22512,1.60533,0.18064,0.09947,0.21385,0.09654,0.05879,0.4106,1.43725,0.36388,8.092e-06,8.092e-06,8.092e-06
48,1110.37,0.258,1.56063,0.20582,0.08982,0.17387,0.09518,0.05522,0.40859,1.44989,0.35539,6.094e-06,6.094e-06,6.094e-06
49,1125.03,0.24857,1.56337,0.18178,0.0888,0.21889,0.0956,0.05688,0.40764,1.46772,0.35994,4.096e-06,4.096e-06,4.096e-06
