epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0493,0.85262,0.98092,0.37654,0.409,0.18314,0.04192,0.01186,0.98666,2.20377,1.04531,1.96825e-05,1.96825e-05,0.0803371
2,59.1505,0.61051,1.09544,0.2429,0.12234,0.46443,0.14774,0.08532,0.50684,1.34338,0.62869,3.88897e-05,3.88897e-05,0.0603564
3,86.9328,0.4976,1.23729,0.19923,0.14961,0.39875,0.17004,0.08387,0.49062,1.50771,0.49273,5.72976e-05,5.72976e-05,0.0403748
4,114.195,0.44616,1.28976,0.179,0.11613,0.5458,0.16352,0.08386,0.4275,1.46826,0.42677,7.49064e-05,7.49064e-05,0.0203924
5,140.864,0.39204,1.25973,0.1584,0.09417,0.66967,0.14263,0.08398,0.43345,1.65709,0.42644,9.17159e-05,9.17159e-05,0.000409176
6,168.053,0.35319,1.38648,0.15102,0.08706,0.62099,0.15622,0.0962,0.41734,1.62137,0.46944,9.001e-05,9.001e-05,9.001e-05
7,196.454,0.32784,1.37017,0.15192,0.11183,0.53617,0.15633,0.09157,0.40521,1.62166,0.41335,8.8012e-05,8.8012e-05,8.8012e-05
8,223.293,0.33617,1.33167,0.12868,0.13448,0.48446,0.15568,0.09198,0.40346,1.61359,0.4172,8.6014e-05,8.6014e-05,8.6014e-05
9,250.171,0.31097,1.36483,0.13579,0.11114,0.39258,0.14027,0.08718,0.38389,1.6052,0.39344,8.4016e-05,8.4016e-05,8.4016e-05
10,277.202,0.31125,1.36604,0.12503,0.1037,0.3784,0.12605,0.07293,0.39887,1.63123,0.41292,8.2018e-05,8.2018e-05,8.2018e-05
11,304.258,0.31379,1.36739,0.12861,0.10287,0.45532,0.12478,0.07912,0.37595,1.56954,0.3918,8.002e-05,8.002e-05,8.002e-05
12,332.082,0.29831,1.38058,0.11869,0.11205,0.4914,0.1269,0.07824,0.391,1.48297,0.42009,7.8022e-05,7.8022e-05,7.8022e-05
13,359.446,0.32131,1.31879,0.13197,0.10768,0.38035,0.14045,0.0848,0.42033,1.46766,0.43236,7.6024e-05,7.6024e-05,7.6024e-05
14,386.621,0.31896,1.30758,0.12288,0.09472,0.48341,0.12292,0.07647,0.39517,1.59784,0.40963,7.4026e-05,7.4026e-05,7.4026e-05
15,413.718,0.31123,1.31216,0.12331,0.10534,0.43675,0.14348,0.09008,0.42809,1.41108,0.4582,7.2028e-05,7.2028e-05,7.2028e-05
16,442.374,0.29225,1.32773,0.11671,0.13212,0.39968,0.15385,0.09422,0.4305,1.36401,0.45027,7.003e-05,7.003e-05,7.003e-05
17,469.636,0.28054,1.35269,0.11807,0.13252,0.45141,0.15285,0.0969,0.41595,1.40683,0.43023,6.8032e-05,6.8032e-05,6.8032e-05
18,496.838,0.30106,1.30142,0.12053,0.12174,0.52091,0.14799,0.09066,0.43244,1.40889,0.47474,6.6034e-05,6.6034e-05,6.6034e-05
19,524.271,0.29467,1.28184,0.11694,0.15571,0.43194,0.17068,0.10364,0.40557,1.32301,0.42731,6.4036e-05,6.4036e-05,6.4036e-05
20,551.972,0.2813,1.29061,0.11022,0.16464,0.54679,0.18227,0.11036,0.4013,1.33368,0.43697,6.2038e-05,6.2038e-05,6.2038e-05
21,579.242,0.29717,1.2954,0.12459,0.14805,0.52332,0.16564,0.09545,0.43365,1.32781,0.45482,6.004e-05,6.004e-05,6.004e-05
22,606.241,0.26355,1.26394,0.10923,0.14435,0.47481,0.15759,0.10293,0.40944,1.27053,0.44324,5.8042e-05,5.8042e-05,5.8042e-05
23,634.591,0.27572,1.29345,0.11795,0.14473,0.53225,0.16433,0.09891,0.42901,1.34971,0.45175,5.6044e-05,5.6044e-05,5.6044e-05
24,662.563,0.27601,1.28345,0.10769,0.15101,0.48023,0.15899,0.09741,0.42189,1.27666,0.44545,5.4046e-05,5.4046e-05,5.4046e-05
25,689.029,0.28574,1.22187,0.10818,0.17913,0.50988,0.17103,0.10688,0.42133,1.25758,0.46821,5.2048e-05,5.2048e-05,5.2048e-05
26,717.198,0.26087,1.28383,0.10944,0.17926,0.49163,0.17928,0.10116,0.43665,1.24216,0.48363,5.005e-05,5.005e-05,5.005e-05
27,744.245,0.26719,1.26564,0.11033,0.16782,0.51211,0.17504,0.10519,0.41693,1.22659,0.44102,4.8052e-05,4.8052e-05,4.8052e-05
