epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.69032,1.78958,9.64913,0.02716,0.0059,0.01361,0.00534,0.00117,2.77764,6.14936,0.08132,0.00048,0.00048,0.07648
2,8.62864,1.80862,3.42669,0.0267,0.05085,0.02341,0.01344,0.00378,2.57047,4.2118,0.06982,0.000976766,0.000976766,0.0519768
3,12.4847,1.81087,3.0702,0.0288,0.04034,0.16758,0.01883,0.00405,2.67155,8.28055,0.07024,0.00147023,0.00147023,0.0274702
4,16.695,1.84395,2.89993,0.0292,0.1785,0.19639,0.08222,0.02933,2.15387,5.14875,0.05057,0.0019604,0.0019604,0.0029604
5,20.4057,1.91323,2.79784,0.02967,0.15641,0.22598,0.08775,0.02838,2.41404,4.57968,0.06215,0.0019736,0.0019736,0.0019736
6,24.1243,1.87112,2.71961,0.03054,0.13091,0.17103,0.10425,0.03744,2.45914,4.9153,0.0638,0.001967,0.001967,0.001967
7,27.844,1.92001,2.64791,0.02964,0.15421,0.16046,0.07715,0.02377,2.53614,3.88566,0.0649,0.0019604,0.0019604,0.0019604
8,31.4066,1.90092,2.54374,0.03025,0.52182,0.16152,0.10786,0.03647,2.35637,4.12387,0.06303,0.0019538,0.0019538,0.0019538
9,35.1423,1.88743,2.41558,0.02935,0.21139,0.14394,0.15196,0.05478,2.32375,3.5217,0.06309,0.0019472,0.0019472,0.0019472
10,38.7517,1.85054,2.34907,0.02936,0.63351,0.23494,0.26226,0.09019,2.09337,3.04555,0.05482,0.0019406,0.0019406,0.0019406
11,42.449,1.82731,2.26058,0.02816,0.41214,0.34122,0.30182,0.10946,2.10897,2.60821,0.05397,0.001934,0.001934,0.001934
12,46.1205,1.91529,2.26139,0.02811,0.22271,0.298,0.17352,0.05474,2.30412,3.48423,0.05851,0.0019274,0.0019274,0.0019274
13,49.6418,1.83551,2.28741,0.02936,0.56963,0.26157,0.23292,0.10154,2.02507,2.6524,0.0495,0.0019208,0.0019208,0.0019208
14,53.4649,1.7663,2.1998,0.02598,0.62849,0.32039,0.30034,0.13867,1.88866,3.11309,0.04718,0.0019142,0.0019142,0.0019142
15,57.2752,1.79349,2.23183,0.02837,0.37861,0.33477,0.34131,0.15434,1.93739,2.43328,0.04945,0.0019076,0.0019076,0.0019076
16,61.0698,1.73559,2.14295,0.02655,0.38382,0.36967,0.35544,0.12022,2.09633,2.31878,0.04871,0.001901,0.001901,0.001901
17,64.69,1.7453,2.03395,0.02568,0.30213,0.33867,0.30646,0.12963,1.91234,2.49306,0.04166,0.0018944,0.0018944,0.0018944
18,68.3658,1.70195,2.0081,0.02664,0.87576,0.29782,0.41592,0.18881,1.90179,2.15381,0.04444,0.0018878,0.0018878,0.0018878
19,72.165,1.68285,2.0241,0.02475,0.74136,0.32313,0.35355,0.15679,2.0439,2.38315,0.05048,0.0018812,0.0018812,0.0018812
20,75.6454,1.70705,2.00078,0.02559,0.78069,0.33242,0.41225,0.15742,2.06832,2.13487,0.04788,0.0018746,0.0018746,0.0018746
21,79.1238,1.72369,1.877,0.02477,0.72505,0.33961,0.38636,0.17252,2.01761,1.97279,0.05477,0.001868,0.001868,0.001868
22,82.6029,1.65822,1.95173,0.02506,0.45821,0.38302,0.3772,0.149,2.00696,2.47907,0.0506,0.0018614,0.0018614,0.0018614
23,86.4252,1.72923,1.94307,0.02681,0.39313,0.4584,0.44254,0.19882,1.85643,2.08313,0.04315,0.0018548,0.0018548,0.0018548
