epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5537,0.91739,0.99488,0.405,0.00038,0.06778,0.00166,0.00064,1.75132,1.09085,3.87101,1.96721e-05,1.96721e-05,0.0803475
2,51.9261,0.61669,1.14119,0.2583,0.02724,0.06239,0.00745,0.0025,1.69733,0.30427,4.00588,3.88795e-05,3.88795e-05,0.0603667
3,78.2111,0.48365,1.17105,0.20366,0.11679,0.34936,0.10172,0.05129,0.65279,1.44542,0.79596,5.72876e-05,5.72876e-05,0.0403852
4,103.987,0.40761,1.21889,0.16308,0.077,0.38498,0.08559,0.05144,0.48631,1.60121,0.56115,7.48966e-05,7.48966e-05,0.0204028
5,130.035,0.32963,1.28652,0.13207,0.06928,0.32291,0.0912,0.04989,0.56258,1.59959,0.67117,9.17063e-05,9.17063e-05,0.000419575
6,155.411,0.28216,1.33513,0.1219,0.07138,0.42082,0.07236,0.03976,0.52544,1.71385,0.60666,9.001e-05,9.001e-05,9.001e-05
7,180.941,0.27889,1.35058,0.12111,0.06017,0.24368,0.07497,0.0452,0.50615,1.58719,0.63601,8.8012e-05,8.8012e-05,8.8012e-05
8,206.634,0.2777,1.30374,0.11141,0.06356,0.2406,0.06665,0.04001,0.52164,1.66169,0.6226,8.6014e-05,8.6014e-05,8.6014e-05
9,232.128,0.26943,1.29599,0.11264,0.08452,0.35353,0.09151,0.05096,0.50028,1.66931,0.57305,8.4016e-05,8.4016e-05,8.4016e-05
10,257.703,0.27937,1.30533,0.12521,0.07939,0.29898,0.09104,0.05151,0.53853,1.65918,0.64632,8.2018e-05,8.2018e-05,8.2018e-05
11,283.779,0.28164,1.24928,0.12136,0.09243,0.31994,0.10724,0.05962,0.54667,1.57423,0.64178,8.002e-05,8.002e-05,8.002e-05
12,309.808,0.27745,1.24773,0.11853,0.11922,0.35828,0.12492,0.0671,0.53416,1.72496,0.64697,7.8022e-05,7.8022e-05,7.8022e-05
13,335.923,0.29771,1.20086,0.13287,0.13952,0.35502,0.14103,0.07244,0.55725,1.454,0.67096,7.6024e-05,7.6024e-05,7.6024e-05
14,361.714,0.27509,1.13292,0.1176,0.18978,0.3112,0.21129,0.11801,0.56084,1.37733,0.69452,7.4026e-05,7.4026e-05,7.4026e-05
15,387.426,0.30082,0.96278,0.12782,0.43726,0.29595,0.30006,0.17219,0.57821,1.2928,0.65845,7.2028e-05,7.2028e-05,7.2028e-05
16,413.511,0.31012,0.75647,0.12627,0.39163,0.36746,0.34864,0.18495,0.61977,1.22998,0.74786,7.003e-05,7.003e-05,7.003e-05
