epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,28.724,0.94105,1.0158,0.44688,0.36408,0.06504,0.02129,0.00618,1.31635,0.99526,2.21793,1.97059e-05,1.97059e-05,0.0803138
2,58.0499,0.53586,1.17886,0.22548,0.03601,0.40394,0.04288,0.01651,1.02628,1.338,1.56304,3.89126e-05,3.89126e-05,0.060333
3,87.3921,0.48133,1.19721,0.19197,0.36859,0.17364,0.05337,0.03414,0.69307,1.65364,1.02277,5.732e-05,5.732e-05,0.0403514
4,116.156,0.40867,1.25322,0.17655,0.38452,0.23594,0.07705,0.03909,0.66101,1.56165,0.95066,7.49283e-05,7.49283e-05,0.020369
5,144.867,0.34631,1.33087,0.15117,0.37418,0.14916,0.06431,0.03326,0.63867,1.7986,0.8765,9.17374e-05,9.17374e-05,0.000385855
6,172.978,0.2984,1.30167,0.12821,0.37625,0.16576,0.05697,0.03219,0.66184,1.72597,0.93871,9.001e-05,9.001e-05,9.001e-05
7,201.145,0.29929,1.27001,0.12577,0.39309,0.16409,0.07989,0.04238,0.66053,1.86014,0.87878,8.8012e-05,8.8012e-05,8.8012e-05
8,229.498,0.29627,1.27619,0.13911,0.40271,0.20986,0.07348,0.03852,0.64544,1.80567,0.87436,8.6014e-05,8.6014e-05,8.6014e-05
9,257.456,0.29961,1.25233,0.13668,0.40069,0.22507,0.07953,0.0394,0.63733,2.06765,0.90539,8.4016e-05,8.4016e-05,8.4016e-05
10,285.109,0.3035,1.21008,0.13248,0.05108,0.42499,0.07669,0.04111,0.62965,1.86985,0.86258,8.2018e-05,8.2018e-05,8.2018e-05
11,313.079,0.30359,1.17661,0.13467,0.4214,0.21835,0.09946,0.05143,0.65765,1.96702,0.88859,8.002e-05,8.002e-05,8.002e-05
12,341.871,0.31144,1.1875,0.13162,0.42099,0.26862,0.09976,0.04854,0.68709,1.82915,0.90035,7.8022e-05,7.8022e-05,7.8022e-05
13,370.605,0.31479,1.16659,0.14111,0.45066,0.20748,0.11128,0.05763,0.67217,1.9604,0.89798,7.6024e-05,7.6024e-05,7.6024e-05
14,399.006,0.3207,1.09756,0.13914,0.40814,0.19794,0.0947,0.05812,0.69783,2.26202,0.95321,7.4026e-05,7.4026e-05,7.4026e-05
15,427.869,0.32149,1.05054,0.14592,0.43528,0.18707,0.11742,0.0613,0.65366,1.80108,0.85648,7.2028e-05,7.2028e-05,7.2028e-05
16,456.539,0.32729,1.00791,0.15053,0.47655,0.18716,0.14336,0.0783,0.65149,2.01354,0.84859,7.003e-05,7.003e-05,7.003e-05
17,484.823,0.34442,0.84956,0.14921,0.53273,0.21301,0.14293,0.07995,0.70509,2.61108,0.90062,6.8032e-05,6.8032e-05,6.8032e-05
18,513.409,0.34319,0.90721,0.1662,0.12616,0.31566,0.14422,0.07681,0.68633,2.17348,0.9319,6.6034e-05,6.6034e-05,6.6034e-05
19,541.14,0.33464,0.76543,0.15733,0.48089,0.28748,0.15982,0.09007,0.6648,2.08473,0.88695,6.4036e-05,6.4036e-05,6.4036e-05
20,569.667,0.33295,0.82288,0.16108,0.18562,0.25686,0.15238,0.08518,0.7318,3.14455,0.94807,6.2038e-05,6.2038e-05,6.2038e-05
21,597.705,0.3436,0.8334,0.16703,0.20684,0.27893,0.1682,0.09204,0.6599,2.23319,0.96808,6.004e-05,6.004e-05,6.004e-05
22,626.756,0.35231,0.89611,0.16588,0.06771,0.3817,0.09314,0.05025,0.69811,3.14232,0.93878,5.8042e-05,5.8042e-05,5.8042e-05
23,655.127,0.32326,0.78369,0.13829,0.18138,0.29147,0.15917,0.08992,0.63271,1.89928,0.86232,5.6044e-05,5.6044e-05,5.6044e-05
