epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1094,0.77905,1.09208,0.35581,0.67604,0.09756,0.02153,0.00383,1.08382,1.14229,1.95939,1.96491e-05,1.96491e-05,0.0803705
2,49.022,0.54628,1.21387,0.22394,0.70248,0.13008,0.05102,0.02213,0.75912,1.40335,0.89146,3.88569e-05,3.88569e-05,0.0603897
3,73.8212,0.50258,1.2231,0.18045,0.3941,0.24963,0.10152,0.05566,0.67373,1.42997,0.81452,5.72655e-05,5.72655e-05,0.0404081
4,98.1778,0.39018,1.30491,0.16832,0.06051,0.3871,0.103,0.06018,0.53837,1.62834,0.66446,7.4875e-05,7.4875e-05,0.0204258
5,122.597,0.32265,1.36294,0.13572,0.37474,0.21719,0.08973,0.0472,0.53332,1.52557,0.66855,9.16852e-05,9.16852e-05,0.000442562
6,146.676,0.28155,1.38403,0.11264,0.37558,0.29028,0.0896,0.05033,0.50056,1.75294,0.64127,9.001e-05,9.001e-05,9.001e-05
7,170.835,0.28371,1.38673,0.1224,0.07601,0.32243,0.07973,0.03908,0.51379,1.6337,0.66227,8.8012e-05,8.8012e-05,8.8012e-05
8,195.082,0.28014,1.35916,0.11368,0.36951,0.2863,0.09288,0.04813,0.55112,1.74569,0.71465,8.6014e-05,8.6014e-05,8.6014e-05
9,219.173,0.26743,1.36232,0.11069,0.37572,0.205,0.08087,0.04104,0.50437,1.72384,0.65516,8.4016e-05,8.4016e-05,8.4016e-05
10,243.221,0.28447,1.32765,0.11918,0.03842,0.26182,0.07875,0.04511,0.53631,1.65774,0.67451,8.2018e-05,8.2018e-05,8.2018e-05
11,267.447,0.27052,1.37579,0.11384,0.0425,0.22383,0.06729,0.03781,0.50192,1.53016,0.62742,8.002e-05,8.002e-05,8.002e-05
12,291.297,0.27462,1.3449,0.11339,0.0332,0.37996,0.07155,0.03531,0.50974,1.75758,0.65154,7.8022e-05,7.8022e-05,7.8022e-05
13,315.308,0.28785,1.3213,0.11935,0.05925,0.3477,0.09474,0.04654,0.49563,1.57312,0.58707,7.6024e-05,7.6024e-05,7.6024e-05
14,339.601,0.28429,1.26221,0.11141,0.38221,0.21437,0.09581,0.04836,0.5527,1.67942,0.62556,7.4026e-05,7.4026e-05,7.4026e-05
15,363.746,0.2951,1.36131,0.11309,0.04469,0.4894,0.0813,0.04668,0.51696,1.69569,0.62434,7.2028e-05,7.2028e-05,7.2028e-05
16,387.925,0.27758,1.29907,0.11473,0.07114,0.26251,0.09018,0.04585,0.54459,1.44905,0.65375,7.003e-05,7.003e-05,7.003e-05
17,412.093,0.29751,1.27202,0.11177,0.0664,0.24339,0.07064,0.0366,0.56616,1.58023,0.67548,6.8032e-05,6.8032e-05,6.8032e-05
18,436.308,0.28854,1.36232,0.12012,0.06157,0.26076,0.07658,0.03869,0.52645,1.65079,0.64554,6.6034e-05,6.6034e-05,6.6034e-05
19,460.452,0.27317,1.31652,0.10926,0.40853,0.12485,0.09918,0.04976,0.53602,1.50849,0.61083,6.4036e-05,6.4036e-05,6.4036e-05
20,484.681,0.281,1.2573,0.10897,0.39131,0.17778,0.07865,0.04273,0.56988,1.54893,0.69522,6.2038e-05,6.2038e-05,6.2038e-05
21,508.628,0.27568,1.34947,0.11581,0.37908,0.16418,0.08155,0.04717,0.53749,1.70295,0.68098,6.004e-05,6.004e-05,6.004e-05
22,532.594,0.24486,1.36943,0.09961,0.07233,0.44027,0.09135,0.04982,0.51764,1.46837,0.60994,5.8042e-05,5.8042e-05,5.8042e-05
23,556.904,0.25671,1.27603,0.1092,0.04944,0.2483,0.0919,0.05443,0.53822,1.44033,0.64646,5.6044e-05,5.6044e-05,5.6044e-05
24,581.082,0.26637,1.34743,0.11117,0.37622,0.20076,0.06238,0.0359,0.53554,1.74809,0.62307,5.4046e-05,5.4046e-05,5.4046e-05
25,605.455,0.25527,1.35482,0.10449,0.05724,0.39178,0.08101,0.0408,0.53882,1.45432,0.61137,5.2048e-05,5.2048e-05,5.2048e-05
26,629.526,0.28187,1.18256,0.11444,0.04654,0.32031,0.0829,0.04221,0.5687,1.44854,0.6388,5.005e-05,5.005e-05,5.005e-05
27,653.564,0.25457,1.28599,0.10505,0.38561,0.21296,0.07808,0.04587,0.50707,1.72302,0.6092,4.8052e-05,4.8052e-05,4.8052e-05
28,677.878,0.25366,1.32625,0.10454,0.07304,0.47253,0.10761,0.06029,0.53992,1.37247,0.65026,4.6054e-05,4.6054e-05,4.6054e-05
29,702.194,0.2712,1.15675,0.11213,0.3885,0.31749,0.10753,0.05652,0.5679,1.48338,0.68484,4.4056e-05,4.4056e-05,4.4056e-05
30,726.375,0.27325,1.17911,0.10996,0.43802,0.14385,0.12441,0.06964,0.56791,1.39904,0.67109,4.2058e-05,4.2058e-05,4.2058e-05
31,751.204,0.26222,1.05192,0.11149,0.10582,0.32594,0.13296,0.06845,0.58489,1.4262,0.70482,4.006e-05,4.006e-05,4.006e-05
32,775.35,0.29161,0.99535,0.12506,0.46307,0.2035,0.13722,0.0749,0.59269,1.50789,0.68256,3.8062e-05,3.8062e-05,3.8062e-05
33,799.793,0.28448,0.82765,0.11556,0.55997,0.16011,0.18317,0.09476,0.60485,1.39199,0.70707,3.6064e-05,3.6064e-05,3.6064e-05
34,824.364,0.29296,0.7143,0.12078,0.30338,0.24387,0.26521,0.14993,0.64621,1.40403,0.75847,3.4066e-05,3.4066e-05,3.4066e-05
35,848.799,0.2941,0.6037,0.11867,0.33758,0.23282,0.25936,0.13578,0.61072,1.44515,0.73292,3.2068e-05,3.2068e-05,3.2068e-05
36,872.854,0.29994,0.53686,0.13087,0.20997,0.29378,0.22759,0.12008,0.63997,1.32725,0.74246,3.007e-05,3.007e-05,3.007e-05
37,897.015,0.29458,0.48871,0.12764,0.53219,0.30261,0.33673,0.19526,0.58658,1.30884,0.70133,2.8072e-05,2.8072e-05,2.8072e-05
38,921.431,0.30543,0.47635,0.12919,0.33294,0.24031,0.23647,0.12905,0.6011,1.44004,0.71819,2.6074e-05,2.6074e-05,2.6074e-05
39,945.688,0.30862,0.46896,0.13451,0.25392,0.2131,0.17671,0.08813,0.64149,1.36726,0.71455,2.4076e-05,2.4076e-05,2.4076e-05
40,969.681,0.29201,0.46533,0.12917,0.41877,0.18361,0.23655,0.12418,0.62513,1.36963,0.74582,2.2078e-05,2.2078e-05,2.2078e-05
41,984.681,0.33295,0.85591,0.36555,0.56193,0.37517,0.39648,0.21294,0.59545,1.04756,0.69474,2.008e-05,2.008e-05,2.008e-05
42,999.443,0.31317,0.68241,0.33677,0.69025,0.45847,0.49476,0.25939,0.57221,0.89392,0.64959,1.8082e-05,1.8082e-05,1.8082e-05
43,1014.02,0.29717,0.59844,0.29884,0.7051,0.51297,0.5171,0.2728,0.58288,0.92602,0.61861,1.6084e-05,1.6084e-05,1.6084e-05
44,1028.52,0.29546,0.61968,0.28694,0.69339,0.52827,0.50847,0.26699,0.56779,0.91242,0.59358,1.4086e-05,1.4086e-05,1.4086e-05
45,1042.78,0.30426,0.59421,0.29317,0.66502,0.57291,0.53494,0.28435,0.58404,0.81992,0.6644,1.2088e-05,1.2088e-05,1.2088e-05
46,1057.36,0.28319,0.55282,0.27643,0.61611,0.59268,0.50568,0.258,0.57374,0.80428,0.62704,1.009e-05,1.009e-05,1.009e-05
47,1071.32,0.28235,0.52351,0.24869,0.55444,0.64114,0.49618,0.26637,0.59333,0.7635,0.68868,8.092e-06,8.092e-06,8.092e-06
48,1085.61,0.26603,0.53857,0.25507,0.57814,0.68549,0.53338,0.28891,0.55042,0.78698,0.6049,6.094e-06,6.094e-06,6.094e-06
49,1100.08,0.2805,0.51716,0.25112,0.64583,0.62821,0.55582,0.30529,0.57707,0.75598,0.63595,4.096e-06,4.096e-06,4.096e-06
50,1114.52,0.27351,0.50087,0.23993,0.6388,0.63434,0.55933,0.30197,0.55758,0.7644,0.62928,2.098e-06,2.098e-06,2.098e-06
